Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
487,486,12,1,1.995893223819302,1.5112767688863218,0,12,2,7.072727272727272,0,0,0.0,0.0,6.028804673892257,5.354761122142309,,15.948665297741274,21,11,0.002053388090349076,9.466997912811282,2.4,12,85.2,426,2.6,13,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,5d5292ea-75b8-456b-b9ce-b57c6b16c653,0,[None]
679,678,16,1,1.9970544918998527,1.5905656980615608,0,12,2,7.243589743589744,0,0,0.0,0.0,6.359085357931163,5.7050408740620195,1.5957235207915828e-08,16.179675994108983,21,11,0.0014727540500736377,10.012581403330422,2.0,12,96.16666666666667,577,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,b16c61ed-09cf-4d96-b4f4-40fa3df5c52f,1,['5d5292ea-75b8-456b-b9ce-b57c6b16c653']
727,726,17,1,1.9972489683631363,1.639607287395772,0,12,2,7.261904761904762,0,0,0.0,0.0,6.425016169955076,5.779201024079455,,16.174690508940852,21,11,0.001375515818431912,10.020818412965468,2.0,12,102.83333333333333,617,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,95f4b935-8dfd-45c7-979a-047b70ad29c5,2,['b16c61ed-09cf-4d96-b4f4-40fa3df5c52f']
704,703,16,1,1.9971590909090908,1.5880601110537187,0,12,2,7.270769230769231,0,0,0.0,0.0,6.39476097085147,5.746681433715515,,16.1875,21,11,0.0014204545454545455,10.03554167205483,2.0,12,100.33333333333333,602,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,caeb4b19-b131-4d15-a734-508fae55cf6c,3,['b16c61ed-09cf-4d96-b4f4-40fa3df5c52f']
555,554,10,1,1.9963963963963964,1.4162032302572845,0,11,2,6.633064516129032,0,0,0.0,0.0,6.165902694487491,5.481415164441089,,14.927927927927929,20,10,0.0018018018018018018,9.278771912706931,1.8571428571428572,13,68.14285714285714,477,2.2857142857142856,16,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,14365ecb-c87c-462d-be5e-5c2a0a8e1d91,4,['b16c61ed-09cf-4d96-b4f4-40fa3df5c52f']
679,678,16,1,1.9970544918998527,1.5905656980615608,0,12,2,7.243589743589744,0,0,0.0,0.0,6.359085357931163,5.7050408740620195,1.5957235207915828e-08,16.179675994108983,21,11,0.0014727540500736377,10.012581403330422,2.0,12,96.16666666666667,577,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,b2b58282-8394-458a-9cab-e116cc757cc5,5,['b16c61ed-09cf-4d96-b4f4-40fa3df5c52f']
679,678,16,1,1.9970544918998527,1.5905656980615608,0,12,2,7.243589743589744,0,0,0.0,0.0,6.359085357931163,5.7050408740620195,1.5957235207915828e-08,16.179675994108983,21,11,0.0014727540500736377,10.012581403330422,2.0,12,96.16666666666667,577,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,934e9e52-59f9-47c6-a41d-31bfa3c5d625,6,['b2b58282-8394-458a-9cab-e116cc757cc5']
679,678,16,1,1.9970544918998527,1.5905656980615608,0,12,2,7.243589743589744,0,0,0.0,0.0,6.359085357931163,5.7050408740620195,1.5957235207915828e-08,16.179675994108983,21,11,0.0014727540500736377,10.012581403330422,2.0,12,96.16666666666667,577,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,87c8b947-d7a2-488d-8eaa-c75cb34f02c4,7,['b2b58282-8394-458a-9cab-e116cc757cc5']
849,848,17,1,1.9976442873969376,1.5759661820668949,0,12,2,7.2846153846153845,0,0,0.0,0.0,6.583031719388134,5.932225465137473,,16.22143698468787,21,11,0.001177856301531213,10.223109318399004,2.4285714285714284,17,101.42857142857143,710,2.2857142857142856,16,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,a4419113-93d7-4a19-a709-34941d8a240a,8,['b2b58282-8394-458a-9cab-e116cc757cc5']
700,699,16,1,1.997142857142857,1.6028489795918364,0,13,2,7.316770186335404,0,0,0.0,0.0,6.3890723846020965,5.7357277638861826,,16.834285714285713,22,11,0.0014285714285714286,10.081414265276926,2.0,12,99.16666666666667,595,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,1973dde2-8d33-46c6-b1e4-e4121125cbea,9,['b2b58282-8394-458a-9cab-e116cc757cc5']
682,681,16,1,1.997067448680352,1.5923667667116725,0,12,2,7.25796178343949,0,0,0.0,0.0,6.363187657505138,5.711456967697763,,16.193548387096776,21,11,0.001466275659824047,10.041916967027099,2.0,12,97.16666666666667,583,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,7139c4df-d72e-4eda-a6b9-df3f886c034e,10,['b2b58282-8394-458a-9cab-e116cc757cc5']
1022,1021,19,1,1.9980430528375734,1.7553777750544768,0,14,2,8.11344537815126,0,0,0.0,0.0,6.761100239429386,6.122714225907386,,17.99412915851272,23,12,0.0009784735812133072,10.911268450600021,2.5,15,142.0,852,2.6666666666666665,16,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,504daf68-51a6-46b8-beca-b366568f7c59,11,['b2b58282-8394-458a-9cab-e116cc757cc5']
767,766,14,1,1.9973924380704042,1.475873252772022,0,12,2,7.005780346820809,0,0,0.0,0.0,6.486694770814228,5.810169220123006,inf,16.185136897001303,21,11,0.001303780964797914,10.107114286784155,2.111111111111111,19,75.44444444444444,679,2.4444444444444446,22,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,06e95bb9-bf09-4857-a3f4-c037be9af8e4,12,['b2b58282-8394-458a-9cab-e116cc757cc5']
679,678,16,1,1.9970544918998527,1.5905656980615608,0,12,2,7.243589743589744,0,0,0.0,0.0,6.359085357931163,5.7050408740620195,1.5957235207915828e-08,16.179675994108983,21,11,0.0014727540500736377,10.012581403330422,2.0,12,96.16666666666667,577,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,1167100a-aa5c-407e-ad03-fb72cde489dc,13,['b2b58282-8394-458a-9cab-e116cc757cc5']
756,755,17,1,1.9973544973544974,1.608458609781361,0,12,2,7.317142857142857,0,0,0.0,0.0,6.465222373103297,5.821471232092257,,16.201058201058203,21,11,0.0013227513227513227,10.068232944391886,2.1666666666666665,13,108.66666666666667,652,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,bf4b01b4-fed4-4cfb-a6f6-40fea3239fdf,14,['b2b58282-8394-458a-9cab-e116cc757cc5']
704,703,16,1,1.9971590909090908,1.5880601110537187,0,12,2,7.283076923076923,0,0,0.0,0.0,6.39476097085147,5.74615689878101,,16.20028409090909,21,11,0.0014204545454545455,10.060455192034139,2.0,12,100.33333333333333,602,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,55cb05e0-9fda-48ab-b137-545afe23d9f8,15,['b2b58282-8394-458a-9cab-e116cc757cc5']
686,685,16,1,1.9970845481049562,1.5947436867291684,0,12,2,7.224683544303797,0,0,0.0,0.0,6.368784358441807,5.71777243578742,1.0295230755413173e-08,16.161807580174926,21,11,0.0014577259475218659,9.980881445383158,2.0,12,97.5,585,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,6361b853-3e0c-4a23-bd09-c6028b51d947,16,['b2b58282-8394-458a-9cab-e116cc757cc5']
537,536,12,1,1.9962756052141526,1.493468438008247,0,11,2,7.111111111111111,0,0,0.0,0.0,6.129103351672876,5.45578593776327,,15.417132216014897,20,10,0.00186219739292365,9.777175574640763,2.0,12,78.0,468,2.3333333333333335,14,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,2ae0c370-be54-4d8a-b8e6-96af7bfc08be,17,['b2b58282-8394-458a-9cab-e116cc757cc5']
707,706,16,1,1.997171145685997,1.5898081220528604,0,12,2,7.284403669724771,0,0,0.0,0.0,6.398719940588322,5.7528887224687555,,16.195190947666195,21,11,0.0014144271570014145,10.050374442543404,2.0,12,101.33333333333333,608,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,aeb631b5-085e-4e84-81cd-b16bf4c3da31,18,['b2b58282-8394-458a-9cab-e116cc757cc5']
722,721,17,1,1.997229916897507,1.612180692290575,0,12,2,7.297297297297297,0,0,0.0,0.0,6.419600778837952,5.770366303729489,,16.20775623268698,21,11,0.0013850415512465374,10.080209465923367,2.0,12,102.5,615,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,0dd21375-2335-4995-8be5-806addbfecdb,19,['b2b58282-8394-458a-9cab-e116cc757cc5']
605,604,14,1,1.9966942148760332,1.5008155180657057,0,13,2,7.1501831501831505,0,0,0.0,0.0,6.24920802421984,5.57085487675025,-inf,16.581818181818182,22,11,0.001652892561983471,9.733840512287232,2.3333333333333335,14,87.0,522,2.3333333333333335,14,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,e126367c-c453-4856-91e0-417352cbe45d,20,['b2b58282-8394-458a-9cab-e116cc757cc5']
704,703,16,1,1.9971590909090908,1.5880601110537187,0,12,2,7.283076923076923,0,0,0.0,0.0,6.39476097085147,5.74615689878101,,16.20028409090909,21,11,0.0014204545454545455,10.060455192034139,2.0,12,100.33333333333333,602,2.5,15,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,14375c55-8b54-460b-b682-e6c4ae0465de,21,['b2b58282-8394-458a-9cab-e116cc757cc5']
741,740,16,1,1.9973009446693657,1.5789400835213747,0,12,2,7.2631578947368425,0,0,0.0,0.0,6.446350172058668,5.796797457646488,-inf,16.23076923076923,21,11,0.001349527665317139,10.189451799978116,1.8571428571428572,13,90.14285714285714,631,2.5714285714285716,18,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-09_020917-LLaMEA-gpt-4o-bragg_with_description_insight,a85dfd46-03db-4088-b829-088228055f75,22,['b2b58282-8394-458a-9cab-e116cc757cc5']
