Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
464,463,11,1,1.9956896551724137,1.4741193519619502,0,15,2,7.401913875598086,0,0,0.0,0.0,5.9833341404757885,5.299832954192974,,16.489224137931036,22,11,0.0021551724137931034,9.106846279883817,3.25,13,100.5,402,2.5,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,ae38402c-5d69-4b44-85b7-d625ceb5b508,0,[None]
575,574,13,1,1.9965217391304348,1.5199879017013234,0,15,2,7.366795366795367,0,0,0.0,0.0,6.196387682140871,5.517326280280292,inf,16.69391304347826,22,11,0.0017391304347826088,9.330356006665657,2.8333333333333335,17,84.66666666666667,508,2.1666666666666665,13,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,14fca994-ecf7-4107-9e3a-86e70d78e428,1,['ae38402c-5d69-4b44-85b7-d625ceb5b508']
478,477,11,1,1.99581589958159,1.4895222422576635,0,15,2,7.3963133640553,0,0,0.0,0.0,6.011312760777036,5.338604622901311,,16.472803347280333,22,11,0.0020920502092050207,9.084269712200555,3.25,13,104.5,418,2.5,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,33d471cc-ee0f-4361-85d4-f74fa38ead12,2,['ae38402c-5d69-4b44-85b7-d625ceb5b508']
509,508,12,1,1.9960707269155207,1.477391240577271,0,11,2,6.961702127659574,0,0,0.0,0.0,6.07408143997886,5.425299440401208,2.4598931273723205e-08,15.273084479371317,20,10,0.0019646365422396855,9.56165400739446,2.0,10,88.6,443,2.0,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,2d0fe2e0-ab38-48b9-bc4d-75cacbada36e,3,['33d471cc-ee0f-4361-85d4-f74fa38ead12']
493,492,9,1,1.9959432048681542,1.448259404482224,0,13,2,7.404347826086957,0,0,0.0,0.0,6.040125001455272,5.398009597399362,,17.58823529411765,24,12,0.002028397565922921,10.293392041425486,2.0,12,71.83333333333333,431,2.1666666666666665,13,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,4c24ca02-5a5b-47ff-a810-f4f542f032e5,4,['2d0fe2e0-ab38-48b9-bc4d-75cacbada36e']
531,530,12,1,1.9962335216572504,1.476445323998709,0,12,2,7.0285714285714285,0,0,0.0,0.0,6.116484782933737,5.466559717075146,,16.06779661016949,21,11,0.0018832391713747645,9.674107238034324,2.0,10,92.0,460,2.0,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,dac1db0e-8f5d-420e-8a0d-e347154ed236,5,['2d0fe2e0-ab38-48b9-bc4d-75cacbada36e']
539,538,12,1,1.9962894248608534,1.4842162872907643,0,11,2,7.048,0,0,0.0,0.0,6.130595603881845,5.487266685110249,,15.358070500927644,20,10,0.0018552875695732839,9.67305556896635,2.0,10,94.0,470,2.0,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,987ffffe-4668-4d1e-99c4-f40e1bf12393,6,['2d0fe2e0-ab38-48b9-bc4d-75cacbada36e']
659,658,13,1,1.9969650986342944,1.4961971626665684,0,11,2,7.039735099337748,0,0,0.0,0.0,6.332140841463525,5.67928614906206,,15.347496206373293,20,10,0.0015174506828528073,9.870513949937964,2.5,15,96.5,579,2.1666666666666665,13,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,30277145-cb6f-4c5b-a36f-ee9f724ef5b7,7,['2d0fe2e0-ab38-48b9-bc4d-75cacbada36e']
446,445,13,1,1.9955156950672646,1.5380964829375212,0,12,2,7.372549019607843,0,0,0.0,0.0,5.939984040445001,5.279595921267061,inf,14.894618834080717,19,10,0.002242152466367713,9.180722527334106,2.75,11,97.75,391,2.5,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,93275ccd-35a9-45c9-9e80-9a4482bd1057,8,['30277145-cb6f-4c5b-a36f-ee9f724ef5b7']
501,500,10,1,1.996007984031936,1.4570698921518244,0,12,2,7.2894736842105265,0,0,0.0,0.0,6.058959790562842,5.399002657540837,3.982186812573058e-08,15.540918163672655,20,10,0.001996007984031936,9.50752894211577,3.0,12,109.75,439,2.5,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,1640a08a-6f6e-4fc6-8d97-c80680ddad8a,9,['30277145-cb6f-4c5b-a36f-ee9f724ef5b7']
569,568,11,1,1.9964850615114236,1.4832916873866835,0,12,2,7.180769230769231,0,0,0.0,0.0,6.184609480464603,5.530115823665912,-inf,15.492091388400702,20,10,0.0017574692442882249,9.503081759449492,2.8,14,99.8,499,2.6,13,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,4f472bd0-38ef-42fa-9f82-546cc22008b8,10,['1640a08a-6f6e-4fc6-8d97-c80680ddad8a']
533,532,11,1,1.99624765478424,1.4784099349147624,0,12,2,7.320987654320987,0,0,0.0,0.0,6.119921963447979,5.463508238209007,,15.51969981238274,20,10,0.001876172607879925,9.495281355358378,3.25,13,117.0,468,2.5,10,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,bf766138-4842-47be-8c8b-be0330f829b4,11,['1640a08a-6f6e-4fc6-8d97-c80680ddad8a']
578,577,10,1,1.9965397923875432,1.525939584056704,0,12,2,7.307116104868914,0,0,0.0,0.0,6.196911556922384,5.557791448184497,inf,15.538062283737025,20,10,0.0017301038062283738,9.576049606303934,3.75,15,123.0,492,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,779c306b-58e5-42bd-bfed-2e86a0199051,12,['1640a08a-6f6e-4fc6-8d97-c80680ddad8a']
578,577,10,1,1.9965397923875432,1.525939584056704,0,12,2,7.307116104868914,0,0,0.0,0.0,6.196911556922384,5.557791448184497,inf,15.538062283737025,20,10,0.0017301038062283738,9.576049606303934,3.75,15,123.0,492,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,f2bd9a65-306c-493b-b62b-336720882f30,13,['779c306b-58e5-42bd-bfed-2e86a0199051']
583,582,10,1,1.9965694682675814,1.5162832571810207,0,12,2,7.354477611940299,0,0,0.0,0.0,6.20647277848257,5.561086565976456,-inf,15.574614065180103,20,10,0.0017152658662092624,9.647232881234048,3.75,15,124.0,496,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,b893442d-9cb8-4eee-b784-c147d5fb6b5a,14,['779c306b-58e5-42bd-bfed-2e86a0199051']
591,590,10,1,1.996615905245347,1.5160629979872935,0,12,2,7.362637362637362,0,0,0.0,0.0,6.219789209952228,5.5797238758004575,3.2588729151860975e-08,15.573604060913706,20,10,0.001692047377326565,9.659892741403539,3.75,15,125.5,502,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,053c7f49-4af1-464a-b8a6-1e3dbd652c62,15,['779c306b-58e5-42bd-bfed-2e86a0199051']
379,378,12,1,1.9947229551451187,1.5514233401326918,0,13,2,7.4655172413793105,0,0,0.0,0.0,5.775546031929014,5.122045132838699,,15.105540897097626,20,10,0.002638522427440633,8.74805600926973,2.3333333333333335,7,108.66666666666667,326,2.3333333333333335,7,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,1ab3170a-31af-48ca-ab76-960f74eae0d4,16,['053c7f49-4af1-464a-b8a6-1e3dbd652c62']
626,625,11,1,1.9968051118210863,1.5303412303892046,0,12,2,7.453287197231834,0,0,0.0,0.0,6.276961716449847,5.6354004126267,inf,15.615015974440894,20,10,0.001597444089456869,9.724600638977636,3.75,15,133.5,534,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,abb0cd0f-3f7e-46ed-8ed3-a25e59fde083,17,['053c7f49-4af1-464a-b8a6-1e3dbd652c62']
638,637,11,1,1.9968652037617556,1.5203663486011338,0,12,2,7.506802721088436,0,0,0.0,0.0,6.296688450391154,5.652115627595334,,15.652037617554859,20,10,0.001567398119122257,9.804727292412021,3.75,15,133.5,534,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,08d73e84-f53a-489b-9c12-5952cf76f63c,18,['abb0cd0f-3f7e-46ed-8ed3-a25e59fde083']
643,642,11,1,1.9968895800933126,1.5303169193782062,0,12,2,7.52013422818792,0,0,0.0,0.0,6.303329859611739,5.66582553910917,-inf,15.65940902021773,20,10,0.0015552099533437014,9.823335901125468,3.75,15,137.5,550,2.75,11,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-09_021030-LLaMEA-gpt-4o-bragg_with_description,4006439c-5f01-4a9f-a2f0-8bfd5a97413e,19,['abb0cd0f-3f7e-46ed-8ed3-a25e59fde083']
