Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
544,543,11,1,1.9963235294117647,1.4558688365051906,0,14,2,7.064516129032258,0,0,0.0,0.0,6.141968817461231,5.47692073774638,2.4730930339786693e-08,17.058823529411764,22,11,0.001838235294117647,9.74018253710324,2.1666666666666665,13,82.33333333333333,494,2.1666666666666665,13,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,96b9a4e7-23b3-4482-98d8-15ca148b2f2a,0,[None]
408,407,12,1,1.9950980392156863,1.5244857747020377,0,11,2,6.655913978494624,0,0,0.0,0.0,5.851239945267123,5.1972981780559095,-inf,13.607843137254902,17,9,0.0024509803921568627,8.668991183697067,2.2,11,71.6,358,2.4,12,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,d3fc433b-ea5f-4646-aee7-4d104896b460,1,['96b9a4e7-23b3-4482-98d8-15ca148b2f2a']
588,587,11,1,1.9965986394557824,1.4659748253042717,0,14,2,7.08550185873606,0,0,0.0,0.0,6.218864682590903,5.557902144714185,,17.066326530612244,22,11,0.0017006802721088435,9.808243229148559,2.1666666666666665,13,89.5,537,2.1666666666666665,13,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,913af302-81f8-4ffe-9dec-458dc037cd8c,2,['96b9a4e7-23b3-4482-98d8-15ca148b2f2a']
531,530,10,1,1.9962335216572504,1.4161816705147163,0,11,2,7.154471544715447,0,0,0.0,0.0,6.118465617126967,5.477325437840967,2.224717362183707e-08,15.101694915254237,19,10,0.0018832391713747645,9.752933233841453,2.5,10,112.75,451,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,747e4b20-f429-4881-b140-494a792b1546,3,['96b9a4e7-23b3-4482-98d8-15ca148b2f2a']
456,455,10,1,1.9956140350877194,1.3508579562942447,0,14,2,7.645933014354067,0,0,0.0,0.0,5.970676035366788,5.297773908074073,1.5527832106628e-08,17.484649122807017,22,11,0.0021929824561403508,10.34342587237324,2.4,12,79.2,396,2.0,10,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,cd05d24f-e3b6-449d-9a6d-5b050e4cea72,4,['747e4b20-f429-4881-b140-494a792b1546']
689,688,10,1,1.9970972423802613,1.404926261951757,0,11,2,6.623376623376624,0,0,0.0,0.0,6.382178784477688,5.706044219334293,,14.728592162554426,19,10,0.001451378809869376,9.265779525432881,1.7777777777777777,16,70.11111111111111,631,1.7777777777777777,16,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,499d6c3c-7dd9-452e-870b-d08ddbf7a942,5,['747e4b20-f429-4881-b140-494a792b1546']
550,549,10,1,1.9963636363636363,1.4290776859504133,0,11,2,7.16796875,0,0,0.0,0.0,6.152461628972276,5.517613911132668,,15.132727272727273,19,10,0.0018181818181818182,9.786977976486174,2.5,10,117.5,470,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,1dcfb766-46f6-49ab-800c-334a7ab91551,6,['747e4b20-f429-4881-b140-494a792b1546']
681,680,11,1,1.9970631424375918,1.4772307287589945,0,12,2,7.129746835443038,0,0,0.0,0.0,6.364128171954309,5.727004658439437,-inf,15.778267254038179,20,10,0.0014684287812041115,9.920912153407619,2.4,12,116.4,582,2.4,12,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,bc5e9490-6ef7-4cc7-8552-9477f10db115,7,['1dcfb766-46f6-49ab-800c-334a7ab91551']
591,590,10,1,1.996615905245347,1.4348447238756188,0,14,2,7.482014388489208,0,0,0.0,0.0,6.222954009788712,5.593193131736561,,17.204737732656515,22,11,0.001692047377326565,10.274065789096332,2.5,10,128.0,512,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,b22b9256-dc87-4a40-96c3-8035321c6e47,8,['1dcfb766-46f6-49ab-800c-334a7ab91551']
609,608,10,1,1.9967159277504105,1.4252765711912985,0,14,2,7.601398601398602,0,0,0.0,0.0,6.253658070051413,5.6192604429864215,,17.257799671592775,22,11,0.0016420361247947454,10.464707026186154,2.5,10,132.0,528,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,d8140b28-5b8d-4125-ba25-6ac27cb5403d,9,['b22b9256-dc87-4a40-96c3-8035321c6e47']
599,598,10,1,1.996661101836394,1.4357150621096377,0,14,2,7.468085106382978,0,0,0.0,0.0,6.236206597835847,5.607916282056935,,17.21202003338898,22,11,0.001669449081803005,10.273957152668048,2.5,10,129.25,517,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,595b2547-26a1-48ca-9831-09195728be2a,10,['b22b9256-dc87-4a40-96c3-8035321c6e47']
673,672,12,1,1.9970282317979198,1.4858752696338722,0,11,2,7.295819935691318,0,0,0.0,0.0,6.352884904050351,5.713002586690679,,15.170876671619613,19,10,0.0014858841010401188,9.902913394183825,3.25,13,140.25,561,2.25,9,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,58aaa357-1b8f-4e3d-b503-49169927e1a9,11,['b22b9256-dc87-4a40-96c3-8035321c6e47']
609,608,10,1,1.9967159277504105,1.428560643440888,0,14,2,7.458041958041958,0,0,0.0,0.0,6.253378630846157,5.621728509860045,,17.16256157635468,22,11,0.0016420361247947454,10.247040013827673,2.5,10,131.75,527,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,aee460c2-9504-49fa-8b16-f4a83576df1a,12,['b22b9256-dc87-4a40-96c3-8035321c6e47']
586,585,9,1,1.9965870307167235,1.4027187270672925,0,10,2,6.40530303030303,0,0,0.0,0.0,6.219568343641796,5.553666510997054,,13.674061433447099,18,9,0.0017064846416382253,8.899232811178203,1.5,12,64.75,518,2.125,17,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,70935a55-c9ad-4d1e-bcfd-f748631efbef,13,['aee460c2-9504-49fa-8b16-f4a83576df1a']
614,613,12,1,1.996742671009772,1.495103396322507,0,11,2,7.145833333333333,0,0,0.0,0.0,6.259028579827683,5.637038215419944,2.0688088726835542e-08,15.052117263843648,19,10,0.0016286644951140066,9.72175077447912,2.5,10,131.75,527,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,e792d386-b7bb-4e7c-bb46-894d97566d0a,14,['aee460c2-9504-49fa-8b16-f4a83576df1a']
614,613,12,1,1.996742671009772,1.495103396322507,0,11,2,7.145833333333333,0,0,0.0,0.0,6.259028579827683,5.637038215419944,2.0688088726835542e-08,15.052117263843648,19,10,0.0016286644951140066,9.72175077447912,2.5,10,131.75,527,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,577983e3-ec5d-47d6-8300-38bad330c9b4,15,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
683,682,14,1,1.9970717423133235,1.5988201222322502,0,11,2,7.142414860681114,0,0,0.0,0.0,6.360729334725109,5.751692861297865,-inf,15.06588579795022,19,10,0.0014641288433382138,9.743884793240104,2.5,10,146.5,586,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,9abb3d38-20b1-412f-8aa7-221367ed3e4a,16,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
631,630,12,1,1.9968304278922346,1.4928584165701813,0,14,2,7.296296296296297,0,0,0.0,0.0,6.286136485969937,5.66297927612905,,17.733755942947703,23,12,0.001584786053882726,10.002374663547405,2.5,10,135.0,540,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,2c28c82e-d265-4a3a-aca4-e3a07d29067a,17,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
647,646,13,1,1.9969088098918084,1.5146735975576255,0,11,2,6.973597359735973,0,0,0.0,0.0,6.3105982389000825,5.686406915175191,2.3458258721473353e-08,14.863987635239567,19,10,0.0015455950540958269,9.580076657686584,2.5,10,135.5,542,2.25,9,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,7a27f627-42fc-4e08-92a5-29558d591a53,18,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
614,613,12,1,1.996742671009772,1.495103396322507,0,11,2,7.145833333333333,0,0,0.0,0.0,6.259028579827683,5.637038215419944,2.0688088726835542e-08,15.052117263843648,19,10,0.0016286644951140066,9.72175077447912,2.5,10,131.75,527,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,1d3c8394-f836-4dea-97bb-ff3998c1380d,19,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
614,613,12,1,1.996742671009772,1.495103396322507,0,11,2,7.145833333333333,0,0,0.0,0.0,6.259028579827683,5.637038215419944,2.0688088726835542e-08,15.052117263843648,19,10,0.0016286644951140066,9.72175077447912,2.5,10,131.75,527,2.0,8,-inf,bragg,exp_data_CAI_clip_exp-02-09_021214-LLaMEA-gpt-4o-bragg,3a8f071f-95d7-46e1-ba9f-f0754dba4423,20,['e792d386-b7bb-4e7c-bb46-894d97566d0a']
