Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
213,212,12,1,1.9906103286384977,1.7463907073111593,0,10,2,6.154639175257732,0,0,0.0,0.0,5.188965309519228,4.55048448521813,,10.727699530516432,14,7,0.004694835680751174,6.6803968464877315,2.5,5,86.0,172,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,7bc3f1c4-c656-4b37-8529-699820832d0c,0,[None]
213,212,12,1,1.9906103286384977,1.7463907073111593,0,10,2,6.154639175257732,0,0,0.0,0.0,5.188965309519228,4.55048448521813,,10.727699530516432,14,7,0.004694835680751174,6.6803968464877315,2.5,5,86.0,172,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,c9fe04a3-f953-471f-b0c9-2eaa91f0c80a,1,['7bc3f1c4-c656-4b37-8529-699820832d0c']
241,240,13,1,1.991701244813278,1.7924622509943005,0,10,2,6.281818181818182,0,0,0.0,0.0,5.310909547545562,4.676421912302588,,10.796680497925312,14,7,0.004149377593360996,6.835546334716459,2.5,5,97.5,195,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,564b5ee2-f8ec-435c-ab3f-454df36d0772,2,['c9fe04a3-f953-471f-b0c9-2eaa91f0c80a']
210,209,12,1,1.9904761904761905,1.7618140589569158,0,10,2,6.114583333333333,0,0,0.0,0.0,5.173559034067644,4.5410450983049575,inf,10.704761904761904,14,7,0.004761904761904762,6.628115743905218,2.5,5,85.5,171,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,4109547e-97f7-49f3-b5b9-2c653c4bc40f,3,['c9fe04a3-f953-471f-b0c9-2eaa91f0c80a']
224,223,11,1,1.9910714285714286,1.714205994897959,0,10,2,6.446601941747573,0,0,0.0,0.0,5.23917260246,4.6092177617681545,-inf,10.674107142857142,14,7,0.004464285714285714,6.828995836002562,3.0,6,90.0,180,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,0967aec2-5fda-4958-880b-d852e8ad4329,4,['c9fe04a3-f953-471f-b0c9-2eaa91f0c80a']
256,255,11,1,1.9921875,1.79681396484375,0,10,2,6.5,0,0,0.0,0.0,5.3689506876231174,4.744543497072156,,10.6875,14,7,0.00390625,6.88265931372549,3.0,6,102.0,204,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,eb6a86cf-0538-4e9b-aa26-fa4dd19ed00c,5,['0967aec2-5fda-4958-880b-d852e8ad4329']
287,286,12,1,1.9930313588850175,1.790892204591533,0,11,2,6.6893939393939394,0,0,0.0,0.0,5.484494060921491,4.855514589260905,,11.595818815331011,15,8,0.003484320557491289,7.111084037913306,3.5,7,114.0,228,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,64993709-1b06-426c-a733-ca9e350162cd,6,['eb6a86cf-0538-4e9b-aa26-fa4dd19ed00c']
419,418,10,1,1.9952267303102624,1.4940106287842971,0,15,2,7.6,0,0,0.0,0.0,5.8788535824179675,5.200465698395419,inf,16.484486873508352,22,11,0.002386634844868735,9.197885144625504,3.6666666666666665,11,120.66666666666667,362,2.6666666666666665,8,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,932d1940-4b45-45f3-ba3e-47330ec0643d,7,['eb6a86cf-0538-4e9b-aa26-fa4dd19ed00c']
432,431,10,1,1.9953703703703705,1.4722007887517146,0,15,2,7.697435897435898,0,0,0.0,0.0,5.911169431857696,5.225156121424108,inf,16.50462962962963,22,11,0.0023148148148148147,9.290259517057661,4.0,12,124.66666666666667,374,2.6666666666666665,8,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,e99b5228-ac5a-49d4-b85a-28e22ef754c1,8,['932d1940-4b45-45f3-ba3e-47330ec0643d']
426,425,10,1,1.9953051643192488,1.4976305406775554,0,15,2,7.623711340206185,0,0,0.0,0.0,5.894779202557928,5.222077312880062,,16.46713615023474,22,11,0.002347417840375587,9.190974868820767,3.6666666666666665,11,123.33333333333333,370,2.6666666666666665,8,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034052-LLaMEA-gpt-4o-ellipsometry,42ff4d09-599c-4901-9281-544cae27cccf,9,['932d1940-4b45-45f3-ba3e-47330ec0643d']
