Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
191,190,11,1,1.9895287958115184,1.5286861654011679,0,10,2,6.219512195121951,0,0,0.0,0.0,5.096737072726323,4.376608373282047,,11.575916230366492,15,8,0.005235602094240838,7.032350509782309,2.0,6,54.666666666666664,164,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,9f1b9216-17d4-4141-b1bd-009953e640b5,0,[None]
191,190,11,1,1.9895287958115184,1.5286861654011679,0,10,2,6.219512195121951,0,0,0.0,0.0,5.096737072726323,4.376608373282047,,11.575916230366492,15,8,0.005235602094240838,7.032350509782309,2.0,6,54.666666666666664,164,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,ba0309c3-8285-4ac9-aaf7-91c356e695ff,1,['9f1b9216-17d4-4141-b1bd-009953e640b5']
225,224,13,1,1.991111111111111,1.6265876543209876,0,10,2,6.322916666666667,0,0,0.0,0.0,5.257757358264642,4.529802170000824,,11.844444444444445,16,8,0.0044444444444444444,7.2873809523809525,2.0,6,64.0,192,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,2f72e4de-66d6-45ae-a75a-30797cb5dcee,2,['9f1b9216-17d4-4141-b1bd-009953e640b5']
225,224,13,1,1.991111111111111,1.6265876543209876,0,10,2,6.322916666666667,0,0,0.0,0.0,5.257757358264642,4.529802170000824,,11.844444444444445,16,8,0.0044444444444444444,7.2873809523809525,2.0,6,64.0,192,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,92cf1420-c3e1-47a7-abe0-9bd05ee093df,3,['2f72e4de-66d6-45ae-a75a-30797cb5dcee']
228,227,13,1,1.9912280701754386,1.6315020006155736,0,11,2,6.3979591836734695,0,0,0.0,0.0,5.270041583363302,4.5483623794674495,,12.741228070175438,17,9,0.0043859649122807015,7.3909111987016,2.0,6,64.66666666666667,194,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,9dca62fe-7f67-4aa9-af8e-b390b2d76908,4,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
225,224,13,1,1.991111111111111,1.6265876543209876,0,10,2,6.322916666666667,0,0,0.0,0.0,5.257757358264642,4.529802170000824,,11.844444444444445,16,8,0.0044444444444444444,7.2873809523809525,2.0,6,64.0,192,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,0373f301-98f5-4f68-9a33-d34a4218202e,5,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
246,245,12,1,1.991869918699187,1.536519267631701,0,11,2,6.580952380952381,0,0,0.0,0.0,5.350030987716113,4.617281844303563,inf,12.760162601626016,17,9,0.0040650406504065045,7.6075327692052435,2.3333333333333335,7,70.66666666666667,212,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,88f19b1a-dd14-42cc-bde6-6a9645c98061,6,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
230,229,13,1,1.991304347826087,1.5912287334593562,0,10,2,6.402061855670103,0,0,0.0,0.0,5.282792779102991,4.53910641192161,-inf,11.904347826086957,16,8,0.004347826086956522,7.4067210936016705,2.0,6,66.66666666666667,200,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,34ea61df-f20f-4756-84ee-1c8a74d54d26,7,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
228,227,13,1,1.9912280701754386,1.6315020006155736,0,11,2,6.3979591836734695,0,0,0.0,0.0,5.270041583363302,4.5483623794674495,,12.741228070175438,17,9,0.0043859649122807015,7.3909111987016,2.0,6,64.66666666666667,194,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,81045952-9e1f-4a7e-bc43-9103d1b39b05,8,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
225,224,13,1,1.991111111111111,1.6265876543209876,0,10,2,6.322916666666667,0,0,0.0,0.0,5.257757358264642,4.529802170000824,,11.844444444444445,16,8,0.0044444444444444444,7.2873809523809525,2.0,6,64.0,192,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034116-LLaMEA-gpt-4o-ellipsometry,d8e2810c-a3d7-4de9-86c1-ad8cfc2fa870,9,['92cf1420-c3e1-47a7-abe0-9bd05ee093df']
