Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
287,286,8,1,1.9930313588850175,1.3100559676577352,0,13,2,7.751937984496124,0,0,0.0,0.0,5.512010728800374,4.809326249425449,,15.062717770034844,20,10,0.003484320557491289,9.211373991861796,2.6666666666666665,8,87.33333333333333,262,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),bc815d0d-f7a5-45cb-b0a5-dc278a0e99a2,0,[None]
208,207,8,1,1.9903846153846154,1.4133690828402368,0,10,2,6.659574468085107,0,0,0.0,0.0,5.181513293205889,4.510876097189513,inf,11.317307692307692,14,7,0.004807692307692308,7.637216648086214,2.0,6,61.666666666666664,185,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),c13736ee-f39c-4a55-b92a-d23186b74319,1,[None]
244,243,15,1,1.9918032786885247,1.7868180596613807,0,9,2,6.261682242990654,0,0,0.0,0.0,5.331264258811026,4.648067151211267,,10.721311475409836,14,7,0.004098360655737705,7.129258584631991,2.5,5,105.5,211,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),6b87a53d-1ca0-4827-80e4-9b341a5a5622,2,[None]
274,273,11,1,1.9927007299270072,1.5619905162768393,0,11,2,6.534883720930233,0,0,0.0,0.0,5.447563646072419,4.819522560402682,,14.558394160583942,19,10,0.0036496350364963502,8.529745193978771,1.3333333333333333,4,81.33333333333333,244,2.6666666666666665,8,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),c94de7ed-13d5-48e5-8af6-bb45f0806781,3,[None]
237,236,9,1,1.9915611814345993,1.4767220352863681,0,10,2,6.05607476635514,0,0,0.0,0.0,5.308263897588198,4.643335307416074,inf,13.151898734177216,17,9,0.004219409282700422,7.754773653722377,2.0,8,52.75,211,3.0,12,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),0b982372-9c06-4c0c-8df4-4c3c1fbd811e,4,[None]
244,243,15,1,1.9918032786885247,1.7868180596613807,0,9,2,6.261682242990654,0,0,0.0,0.0,5.331264258811026,4.648067151211267,,10.721311475409836,14,7,0.004098360655737705,7.129258584631991,2.5,5,105.5,211,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),ba646026-7239-4555-a836-b3e6bcfe10a2,5,['6b87a53d-1ca0-4827-80e4-9b341a5a5622']
220,219,8,1,1.990909090909091,1.4090082644628095,0,10,2,6.75,0,0,0.0,0.0,5.237432090468571,4.573523200644704,,11.336363636363636,14,7,0.004545454545454545,7.755085097550851,2.3333333333333335,7,64.33333333333333,193,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),c76c4db6-9be0-427c-8a4b-8ddd82f9b2e6,6,['c13736ee-f39c-4a55-b92a-d23186b74319']
280,279,8,1,1.9928571428571429,1.3070918367346938,0,13,2,7.7063492063492065,0,0,0.0,0.0,5.487649347526265,4.784889152046921,,14.996428571428572,20,10,0.0035714285714285713,9.10668202764977,2.6666666666666665,8,86.0,258,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),a4d2a5f6-f743-43d2-bd45-d2abce75b1ce,7,['bc815d0d-f7a5-45cb-b0a5-dc278a0e99a2']
319,318,11,1,1.993730407523511,1.5172020715205239,0,11,2,7.046666666666667,0,0,0.0,0.0,5.602174778353662,4.973785095520366,,15.385579937304076,20,10,0.003134796238244514,8.921038623055539,2.3333333333333335,7,94.66666666666667,284,2.6666666666666665,8,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),7471ad43-4d70-40d0-9b8a-088726e535a2,8,['c94de7ed-13d5-48e5-8af6-bb45f0806781']
456,455,10,1,1.9956140350877194,1.5438404124345955,0,11,2,6.529126213592233,0,0,0.0,0.0,5.958284141807151,5.2976940656663745,2.4749471092610308e-08,14.390350877192983,18,9,0.0021929824561403508,8.814285714285715,2.8,14,78.6,393,3.2,16,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),5feae491-3fe6-4063-b542-efb5b6e22043,9,['0b982372-9c06-4c0c-8df4-4c3c1fbd811e']
431,430,9,1,1.9953596287703017,1.563783571363203,0,10,2,6.532994923857868,0,0,0.0,0.0,5.89939816960152,5.250989698578977,,13.88863109048724,18,9,0.002320185614849188,8.71461716937355,2.8,14,76.0,380,3.4,17,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),12140505-c3c3-4551-90a3-5a0960460be6,10,['0b982372-9c06-4c0c-8df4-4c3c1fbd811e']
268,267,16,1,1.992537313432836,1.798451770995767,0,10,2,6.379310344827586,0,0,0.0,0.0,5.426947696569513,4.722781018547689,,11.753731343283581,15,8,0.0037313432835820895,7.405696237911566,2.5,5,115.5,231,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),c5f75b84-9a00-489d-aa6d-43140c31e84c,11,['6b87a53d-1ca0-4827-80e4-9b341a5a5622']
244,243,15,1,1.9918032786885247,1.7868180596613807,0,9,2,6.261682242990654,0,0,0.0,0.0,5.331264258811026,4.648067151211267,,10.721311475409836,14,7,0.004098360655737705,7.129258584631991,2.5,5,105.5,211,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),1f23af88-ec6f-4b28-9225-f3f066006bb3,12,['6b87a53d-1ca0-4827-80e4-9b341a5a5622']
299,298,9,1,1.9933110367892977,1.3511258263330388,0,13,2,7.622222222222222,0,0,0.0,0.0,5.550438771266119,4.8515122603624885,,15.013377926421406,20,10,0.0033444816053511705,9.119121905232205,2.3333333333333335,7,91.0,273,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),f391f94d-b6d5-4f46-a57c-01281e895868,13,['a4d2a5f6-f743-43d2-bd45-d2abce75b1ce']
274,273,8,1,1.9927007299270072,1.32111460386808,0,13,2,7.620967741935484,0,0,0.0,0.0,5.464670802420972,4.770021376295961,,14.934306569343066,20,10,0.0036496350364963502,8.974358974358974,2.6666666666666665,8,84.0,252,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),6f0b94c3-1ea3-45b6-ac76-32e6677cc69f,14,['a4d2a5f6-f743-43d2-bd45-d2abce75b1ce']
300,299,9,1,1.9933333333333334,1.3466222222222222,0,13,2,7.713235294117647,0,0,0.0,0.0,5.55397256945626,4.863984098219777,-inf,14.943333333333333,20,10,0.0033333333333333335,9.09406911928651,3.0,9,91.0,273,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),9739d1be-de85-4984-8741-e2768924db20,15,['a4d2a5f6-f743-43d2-bd45-d2abce75b1ce']
271,270,17,1,1.992619926199262,1.8818643536988875,0,10,2,6.3076923076923075,0,0,0.0,0.0,5.436055609968705,4.7331209681420745,,11.697416974169741,15,8,0.0036900369003690036,7.258001913352467,2.5,5,115.0,230,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-24_023714-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),797552fb-5a1d-470a-ac37-75f4b3f4b399,16,['6b87a53d-1ca0-4827-80e4-9b341a5a5622']
