Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
485,484,12,1,1.9958762886597938,1.6329726857264317,0,11,2,7.37219730941704,0,0,0.0,0.0,6.017346369597206,5.375851750236258,,14.845360824742269,19,10,0.002061855670103093,8.6540172105308,4.0,8,198.0,396,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,3770a2cc-b61b-407f-b1cf-8fd34df007e5,0,[None]
643,642,16,1,1.9968895800933126,1.8258068105135092,0,12,2,7.326530612244898,0,0,0.0,0.0,6.293250531462208,5.6515743074515035,,14.897356143079316,20,10,0.0015552099533437014,8.58123186193999,4.0,8,263.5,527,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b,1,['3770a2cc-b61b-407f-b1cf-8fd34df007e5']
685,684,16,1,1.9970802919708028,1.8364878256699875,0,12,2,7.399361022364217,0,0,0.0,0.0,6.356460364979161,5.713960378778239,6.63638987673311e-09,14.973722627737226,20,10,0.00145985401459854,8.665582447603192,4.5,9,284.0,568,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,94701a14-fd06-4177-800a-6c4665dbe602,2,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
523,522,12,1,1.9961759082217974,1.7322989518478846,0,12,2,7.714285714285714,0,0,0.0,0.0,6.080718077014735,5.495729155694669,,15.206500956022944,20,10,0.0019120458891013384,9.054262543680359,4.0,8,214.5,429,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,79852cfd-d2ff-4a94-a16e-1db16bcaa8d3,3,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
695,694,16,1,1.9971223021582734,1.8503514310853475,0,12,2,7.398119122257054,0,0,0.0,0.0,6.369841219433971,5.733989404144671,inf,14.94820143884892,20,10,0.0014388489208633094,8.652698360043953,4.0,8,288.0,576,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,c29fa3fe-d839-45a4-a83a-ca5f80010f01,4,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
530,529,13,1,1.9962264150943396,1.7018725525097902,0,12,2,7.104166666666667,0,0,0.0,0.0,6.103858617999311,5.450087801442383,,14.775471698113208,20,10,0.0018867924528301887,8.448271926382994,3.0,9,145.33333333333334,436,3.0,9,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,563a7dae-179a-4a3c-a3a5-911183c98be1,5,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
741,740,16,1,1.9973009446693657,1.8272531739397282,0,12,2,7.480712166172107,0,0,0.0,0.0,6.436010861843501,5.787631975874088,,15.051282051282051,20,10,0.001349527665317139,8.853937338147864,4.5,9,306.0,612,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,cc17088c-4660-4751-b5a0-c3d138e682f9,6,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
491,490,17,1,1.9959266802443991,1.8085373795529307,0,12,2,7.404444444444445,0,0,0.0,0.0,6.024182309849628,5.382357328670777,,15.191446028513239,20,10,0.002036659877800407,8.704335176025603,3.3333333333333335,10,140.0,420,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,8c7ca176-011a-47aa-984e-1b4865e634b7,7,['bd7f419b-a6f7-40d6-aaaf-23c6ac70b70b']
521,520,15,1,1.9961612284069097,1.8042079125850556,0,12,2,7.301652892561983,0,0,0.0,0.0,6.0808465040607285,5.453367012444256,,15.143953934740884,20,10,0.0019193857965451055,8.878192824450021,3.0,9,146.33333333333334,439,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,ef3aeb96-593c-4dbe-913a-0dfbd6ba760c,8,['8c7ca176-011a-47aa-984e-1b4865e634b7']
509,508,18,1,1.9960707269155207,1.8506721836028117,0,12,2,7.452991452991453,0,0,0.0,0.0,6.058729706010679,5.422058822793985,,15.222003929273084,20,10,0.0019646365422396855,8.711229367448912,3.3333333333333335,10,144.33333333333334,433,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,42905354-535b-4050-b3d3-f38cd4078eb7,9,['8c7ca176-011a-47aa-984e-1b4865e634b7']
555,554,18,1,1.9963963963963964,1.873860887914942,0,12,2,7.34765625,0,0,0.0,0.0,6.143201240593359,5.510119017154528,,15.21081081081081,20,10,0.0018018018018018018,8.785533547988422,2.75,11,120.0,480,3.5,14,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,ad57a1aa-37b9-435d-a2c2-adc867a6696f,10,['8c7ca176-011a-47aa-984e-1b4865e634b7']
512,511,18,1,1.99609375,1.8515472412109375,0,12,2,7.483050847457627,0,0,0.0,0.0,6.064269723477668,5.429980265151475,1.4076942251586378e-08,15.248046875,20,10,0.001953125,8.75222449853229,3.3333333333333335,10,146.33333333333334,439,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,f48d3855-c189-4145-ad5e-74ad059e7bbb,11,['8c7ca176-011a-47aa-984e-1b4865e634b7']
513,512,18,1,1.996101364522417,1.8440393815380989,0,12,2,7.47457627118644,0,0,0.0,0.0,6.066892724921914,5.430086345890557,,15.24561403508772,20,10,0.001949317738791423,8.744289108187134,3.3333333333333335,10,148.0,444,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,a1dadf4c-01e3-47a6-bf82-f8b257a96a95,12,['8c7ca176-011a-47aa-984e-1b4865e634b7']
536,535,12,1,1.9962686567164178,1.652971151704166,0,11,2,7.262096774193548,0,0,0.0,0.0,6.114991616685134,5.481274217892477,-inf,14.833955223880597,19,10,0.0018656716417910447,8.92610545403822,3.3333333333333335,10,151.0,453,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,7fb554bb-8e1a-4723-b1d5-2bba16facab2,13,['8c7ca176-011a-47aa-984e-1b4865e634b7']
511,510,19,1,1.9960861056751467,1.9060512176347362,0,12,2,7.417021276595745,0,0,0.0,0.0,6.061183935561304,5.426941872742921,,15.187866927592955,20,10,0.0019569471624266144,8.642231687195427,3.3333333333333335,10,149.33333333333334,448,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,01e767b8-e057-4425-972b-61f772441940,14,['8c7ca176-011a-47aa-984e-1b4865e634b7']
510,509,18,1,1.996078431372549,1.8509650134563629,0,12,2,7.451063829787234,0,0,0.0,0.0,6.060519708518447,5.426448201912075,,15.22156862745098,20,10,0.00196078431372549,8.70710736160869,3.3333333333333335,10,145.66666666666666,437,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,e5c174c0-1a6a-4d05-955e-77d730643945,15,['8c7ca176-011a-47aa-984e-1b4865e634b7']
509,508,18,1,1.9960707269155207,1.8506721836028117,0,12,2,7.452991452991453,0,0,0.0,0.0,6.058729706010679,5.422058822793985,,15.222003929273084,20,10,0.0019646365422396855,8.711229367448912,3.3333333333333335,10,144.33333333333334,433,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,450f359c-49c6-4b6c-ba58-54d5972c92f4,16,['8c7ca176-011a-47aa-984e-1b4865e634b7']
571,570,17,1,1.9964973730297724,1.7758196055097366,0,12,2,7.273764258555133,0,0,0.0,0.0,6.176183197237307,5.5377069882881,,15.222416812609458,20,10,0.0017513134851138354,8.988318431806311,2.75,11,123.75,495,3.0,12,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,3ae9152e-d89d-4216-b77f-a750a589c0ed,17,['8c7ca176-011a-47aa-984e-1b4865e634b7']
528,527,18,1,1.996212121212121,1.8295311065197433,0,15,2,7.658436213991769,0,0,0.0,0.0,6.096205864530413,5.452907186851117,1.9280212881964135e-08,16.55871212121212,23,12,0.001893939393939394,9.031747743085504,3.3333333333333335,10,153.33333333333334,460,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,b98bad30-01b3-4db7-8431-13c0a61a209b,18,['8c7ca176-011a-47aa-984e-1b4865e634b7']
516,515,18,1,1.996124031007752,1.8449462171744486,0,13,2,7.508403361344538,0,0,0.0,0.0,6.072387716118554,5.437768990002432,,15.655038759689923,21,11,0.001937984496124031,8.787875366899977,3.3333333333333335,10,148.66666666666666,446,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,eabc2518-3a48-4c32-b3d8-bf27330d93d3,19,['8c7ca176-011a-47aa-984e-1b4865e634b7']
510,509,17,1,1.996078431372549,1.7960630526720487,0,12,2,7.404255319148936,0,0,0.0,0.0,6.062103916980824,5.426793844494458,,15.178431372549019,20,10,0.00196078431372549,8.707184406178975,3.3333333333333335,10,145.66666666666666,437,3.3333333333333335,10,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034013-LLaMEA-gpt-4o-ellipsometry,ef6be291-a8bc-4e8d-8a3a-7cfd5dd5c1af,20,['8c7ca176-011a-47aa-984e-1b4865e634b7']
