Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
630,629,15,1,1.9968253968253968,1.780942302847065,0,12,2,7.121527777777778,0,0,0.0,0.0,6.272088546903341,5.627206268329754,,15.046031746031746,20,10,0.0015873015873015873,9.056587680117092,5.0,15,171.33333333333334,514,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,bd7eea02-f05a-4b3b-9fd0-caa564363642,0,[None]
274,273,14,1,1.9927007299270072,1.8247642389045764,0,11,2,6.336065573770492,0,0,0.0,0.0,5.442194077218401,4.774672170376058,,11.748175182481752,15,8,0.0036496350364963502,7.041817063714874,3.5,7,109.0,218,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,b87f8c79-4fbf-456f-9520-150356e73092,1,['bd7eea02-f05a-4b3b-9fd0-caa564363642']
402,401,15,1,1.9950248756218905,1.8805722630627952,0,13,2,7.2,0,0,0.0,0.0,5.8232563843401275,5.153262767616463,-inf,13.35323383084577,17,9,0.0024875621890547263,8.022853314475007,4.5,9,164.0,328,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,ada08d22-6b8a-4fb9-8766-48204d1db5ab,2,['bd7eea02-f05a-4b3b-9fd0-caa564363642']
637,636,15,1,1.9968602825745683,1.805327661797723,0,12,2,7.116438356164384,0,0,0.0,0.0,6.281932046936672,5.641348997708407,,15.039246467817897,20,10,0.0015698587127158557,9.03290779301561,5.0,15,174.0,522,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa,3,['bd7eea02-f05a-4b3b-9fd0-caa564363642']
651,650,16,1,1.9969278033794162,1.8371641407169879,0,12,2,7.093959731543624,0,0,0.0,0.0,6.302742174748068,5.661701057432136,1.1993249187450287e-08,15.003072196620584,20,10,0.0015360983102918587,8.979576982157628,5.333333333333333,16,178.0,534,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,830e131e-b51f-48e9-a7e3-94b63de2b837,4,['083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa']
637,636,15,1,1.9968602825745683,1.805327661797723,0,12,2,7.116438356164384,0,0,0.0,0.0,6.281932046936672,5.641348997708407,,15.039246467817897,20,10,0.0015698587127158557,9.03290779301561,5.0,15,174.0,522,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,0fbfa32e-c1d5-4bac-87d8-81d23f07dbf8,5,['083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa']
384,383,14,1,1.9947916666666667,1.8437228732638893,0,12,2,7.271676300578035,0,0,0.0,0.0,5.777668116155564,5.12024275528317,inf,12.3984375,16,8,0.0026041666666666665,7.929408724978242,4.0,8,157.0,314,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,d35c12e4-b0dd-412c-a8ad-2c11a4e1057d,6,['083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa']
695,694,15,1,1.9971223021582734,1.8474737332436209,0,12,2,7.175,0,0,0.0,0.0,6.367468678884146,5.731518573564165,,15.136690647482014,20,10,0.0014388489208633094,9.180859577467709,5.0,15,190.33333333333334,571,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,cf71e8d3-8fed-4fc0-a4f8-394073d74b24,7,['083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa']
637,636,15,1,1.9968602825745683,1.805327661797723,0,12,2,7.116438356164384,0,0,0.0,0.0,6.281932046936672,5.641348997708407,,15.039246467817897,20,10,0.0015698587127158557,9.03290779301561,5.0,15,174.0,522,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,1d0bb581-5baf-4ccd-9d87-ca8a2ee97671,8,['083f21c0-310d-4ad9-9d1e-8ee2fa62eeaa']
704,703,15,1,1.9971590909090908,1.8266964746900825,0,13,2,7.401234567901234,0,0,0.0,0.0,6.380902141615942,5.741094032985611,inf,15.795454545454545,21,11,0.0014204545454545455,9.315098441743178,5.0,15,194.0,582,3.6666666666666665,11,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034044-LLaMEA-gpt-4o-ellipsometry,a678b9e1-63b5-48b5-bb60-a482f2b48517,9,['1d0bb581-5baf-4ccd-9d87-ca8a2ee97671']
