Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
550,549,15,1,1.9963636363636363,1.730895867768595,0,12,2,7.44758064516129,0,0,0.0,0.0,6.1413960856735175,5.4861697004402075,1.7806395093777225e-08,13.66,18,9,0.0018181818181818182,8.503772147706574,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,7825700b-3e1b-49be-9ead-a85da172b716,0,[None]
562,561,15,1,1.99644128113879,1.7224072643456898,0,12,2,7.5078740157480315,0,0,0.0,0.0,6.163180556398177,5.509684620599952,-inf,13.697508896797153,18,9,0.0017793594306049821,8.586522541724552,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,800225bd-165f-48fa-9aaa-6dccc6f539b2,1,['7825700b-3e1b-49be-9ead-a85da172b716']
571,570,15,1,1.9964973730297724,1.7092696930754105,0,12,2,7.544747081712062,0,0,0.0,0.0,6.18005055887895,5.521277240266143,-inf,13.774080560420316,18,9,0.0017513134851138354,8.725953236857467,6.0,12,219.0,438,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,07dea666-0484-4946-a45f-05487970d4de,2,['7825700b-3e1b-49be-9ead-a85da172b716']
619,618,15,1,1.9967689822294024,1.7221220322527608,0,12,2,7.468085106382978,0,0,0.0,0.0,6.2589655484352615,5.615492109250156,1.295457066925971e-08,13.631663974151857,18,9,0.0016155088852988692,8.580077481688285,6.5,13,242.0,484,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,c4fdbf07-b9f1-493b-acf7-2107cb759129,3,['7825700b-3e1b-49be-9ead-a85da172b716']
562,561,15,1,1.99644128113879,1.7224072643456898,0,12,2,7.503937007874016,0,0,0.0,0.0,6.163180556398177,5.509904451762037,-inf,13.692170818505337,18,9,0.0017793594306049821,8.57615087445525,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,8ac7bf31-77b7-4c21-9859-15674e30aa71,4,['7825700b-3e1b-49be-9ead-a85da172b716']
577,576,15,1,1.9965337954939342,1.705360602410724,0,15,2,7.6692307692307695,0,0,0.0,0.0,6.190589121869953,5.527803797556647,1.924017655128555e-08,16.292894280762564,21,11,0.0017331022530329288,8.838400250336992,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,d2f1ed0f-7120-4262-9f72-d0245134a742,5,['7825700b-3e1b-49be-9ead-a85da172b716']
569,568,15,1,1.9964850615114236,1.7117626891441526,0,12,2,7.484375,0,0,0.0,0.0,6.176413173933449,5.518071822375068,inf,13.708260105448154,18,9,0.0017574692442882249,8.602143617416273,6.0,12,217.5,435,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,433817ba-cf6b-40a4-aeb6-1b14ca11337f,6,['7825700b-3e1b-49be-9ead-a85da172b716']
592,591,15,1,1.9966216216216217,1.760123721694668,0,12,2,7.387218045112782,0,0,0.0,0.0,6.214468065168672,5.556646932894209,,13.699324324324325,18,9,0.0016891891891891893,8.563223121598757,5.5,11,226.5,453,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,599e9776-9bbd-42f1-b81e-e9405302e369,7,['7825700b-3e1b-49be-9ead-a85da172b716']
562,561,15,1,1.99644128113879,1.7224072643456898,0,12,2,7.484251968503937,0,0,0.0,0.0,6.163180556398177,5.510341373750024,-inf,13.718861209964412,18,9,0.0017793594306049821,8.606009857841551,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,a5cd7772-7607-4cf3-a011-5923252d3c3c,8,['7825700b-3e1b-49be-9ead-a85da172b716']
562,561,15,1,1.99644128113879,1.7224072643456898,0,12,2,7.5078740157480315,0,0,0.0,0.0,6.163180556398177,5.509684620599952,-inf,13.697508896797153,18,9,0.0017793594306049821,8.586522541724552,5.5,11,210.0,420,2.5,5,-inf,bragg_with_description_insight,exp_data_CAI_clip_exp-02-23_142252-LLaMEA-gpt-4o-bragg_with_description_insight,ddda7f64-25a6-4351-bdf4-335c3d733f49,9,['7825700b-3e1b-49be-9ead-a85da172b716']
