Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
666,665,13,1,1.996996996996997,1.6005915825735646,0,15,2,8.199335548172758,0,0,0.0,0.0,6.337689519147111,5.664312640672049,-inf,15.82132132132132,20,10,0.0015015015015015015,9.510185373343267,6.0,12,266.5,533,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,84882b9c-7638-4d33-8019-b72a0bf2a9d5,0,[None]
652,651,13,1,1.9969325153374233,1.604285069065452,0,14,2,8.094915254237288,0,0,0.0,0.0,6.316314443296087,5.646422864969187,inf,15.122699386503067,19,10,0.0015337423312883436,9.370246812360408,6.0,12,262.0,524,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,d5d2f76f-9247-42b5-a2fa-608d2e7128d8,1,['84882b9c-7638-4d33-8019-b72a0bf2a9d5']
671,670,14,1,1.9970193740685545,1.6303935003698018,0,14,2,8.072131147540984,0,0,0.0,0.0,6.343753127978145,5.680515557144617,inf,15.114754098360656,19,10,0.0014903129657228018,9.346451053228641,6.0,12,271.5,543,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,c39ebf9a-c81e-4e8d-96e7-51437abc8b6d,2,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
666,665,13,1,1.996996996996997,1.6035945855765676,0,14,2,8.099337748344372,0,0,0.0,0.0,6.337296099490144,5.6704639865998665,-inf,15.097597597597598,19,10,0.0015015015015015015,9.367305651516178,6.0,12,269.5,539,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,b0e8d587-ad9f-478f-95fc-67fa8508157e,3,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
652,651,13,1,1.9969325153374233,1.604285069065452,0,14,2,8.094915254237288,0,0,0.0,0.0,6.316314443296087,5.646422864969187,inf,15.122699386503067,19,10,0.0015337423312883436,9.370246812360408,6.0,12,262.0,524,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,991043fd-3421-4a8f-9594-ddb6faa6803b,4,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
712,711,14,1,1.997191011235955,1.6488685140765051,0,14,2,8.217791411042946,0,0,0.0,0.0,6.401358099760008,5.747658789074349,2.5034611363911232e-08,15.134831460674157,19,10,0.0014044943820224719,9.467611687921744,6.5,13,291.0,582,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,ed312907-192b-484c-89e8-700751b6060e,5,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
691,690,14,1,1.9971056439942112,1.6381971219797231,0,14,2,8.089171974522293,0,0,0.0,0.0,6.372957375046219,5.709492229054351,-inf,15.173661360347323,19,10,0.001447178002894356,9.432731391178507,6.0,12,279.0,558,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,06442f4b-6856-4fba-be59-6ddaa6241329,6,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
696,695,15,1,1.9971264367816093,1.6609112828643147,0,14,2,8.085173501577287,0,0,0.0,0.0,6.379057892563845,5.720235551208514,,15.077586206896552,19,10,0.0014367816091954023,9.323869180517654,6.0,12,287.0,574,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,86f40cd4-daa5-43c3-8985-86e24e554839,7,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
652,651,13,1,1.9969325153374233,1.604285069065452,0,14,2,8.094915254237288,0,0,0.0,0.0,6.316314443296087,5.646422864969187,inf,15.122699386503067,19,10,0.0015337423312883436,9.370246812360408,6.0,12,262.0,524,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,d439df9a-e811-4033-9b02-cac5132f883c,8,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
652,651,13,1,1.9969325153374233,1.604285069065452,0,14,2,8.094915254237288,0,0,0.0,0.0,6.316314443296087,5.646422864969187,inf,15.122699386503067,19,10,0.0015337423312883436,9.370246812360408,6.0,12,262.0,524,2.5,5,-inf,bragg_with_description,exp_data_CAI_clip_exp-02-23_142543-LLaMEA-gpt-4o-bragg_with_description,3dabce58-ad3c-4e59-8ef2-aab8840407f6,9,['d5d2f76f-9247-42b5-a2fa-608d2e7128d8']
