Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
323,322,13,1,1.9938080495356036,1.6841721860652357,0,11,2,7.13103448275862,0,0,0.0,0.0,5.611664665853797,4.947148172959402,,12.034055727554179,15,8,0.0030959752321981426,7.940503432494279,3.5,7,134.5,269,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,5a6504fc-1d60-4814-ba1d-502314d414dc,0,[None]
468,467,14,1,1.9957264957264957,1.6110928482723355,0,12,2,7.480952380952381,0,0,0.0,0.0,5.986304473580766,5.3183044575362715,,13.679487179487179,18,9,0.002136752136752137,8.527974523691869,5.0,10,193.5,387,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,85b7746e-bbe4-4af5-b3bd-6c10f06a75a4,1,['5a6504fc-1d60-4814-ba1d-502314d414dc']
401,400,13,1,1.9950124688279303,1.700723254208618,0,11,2,7.076923076923077,0,0,0.0,0.0,5.826576886748464,5.177762313063928,-inf,12.107231920199501,15,8,0.0024937655860349127,8.02715710723192,4.5,9,159.0,318,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,94cce3e5-641f-4a89-9cd3-07c059523e77,2,['85b7746e-bbe4-4af5-b3bd-6c10f06a75a4']
410,409,13,1,1.9951219512195122,1.6877810826888757,0,12,2,7.17741935483871,0,0,0.0,0.0,5.849481758810206,5.196795968671303,-inf,12.668292682926829,16,8,0.0024390243902439024,8.159866420180094,4.5,9,163.0,326,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,0e56551b-e34b-4b07-9889-522ae4ae316d,3,['94cce3e5-641f-4a89-9cd3-07c059523e77']
460,459,14,1,1.9956521739130435,1.726068052930057,0,13,2,7.3649289099526065,0,0,0.0,0.0,5.962037090802647,5.32079909818368,inf,13.571739130434782,17,9,0.002173913043478261,8.345306431751444,5.0,10,185.5,371,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,fc65dee0-9ed4-4d38-8b93-23ff9829ea7b,4,['94cce3e5-641f-4a89-9cd3-07c059523e77']
426,425,14,1,1.9953051643192488,1.7323723247151137,0,12,2,7.21025641025641,0,0,0.0,0.0,5.885307445496597,5.245448462412362,,12.615023474178404,16,8,0.002347417840375587,8.142126484396575,4.5,9,170.5,341,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,63fecfd7-5fd0-490d-8171-4e7443a5c9ec,5,['94cce3e5-641f-4a89-9cd3-07c059523e77']
440,439,14,1,1.9954545454545454,1.7181611570247937,0,12,2,7.298507462686567,0,0,0.0,0.0,5.918398933049398,5.274986856577481,,12.63409090909091,16,8,0.0022727272727272726,8.231341892731415,5.0,10,178.5,357,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,eef14f8a-91d6-4b5d-ba19-2c7e5b692954,6,['94cce3e5-641f-4a89-9cd3-07c059523e77']
420,419,14,1,1.9952380952380953,1.738072562358277,0,11,2,7.145833333333333,0,0,0.0,0.0,5.870979604398555,5.231514887147146,-inf,12.095238095238095,15,8,0.002380952380952381,8.056245027844072,4.5,9,168.5,337,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,014cf00d-63ed-42cf-b58f-72fc6f6d1841,7,['94cce3e5-641f-4a89-9cd3-07c059523e77']
528,527,14,1,1.996212121212121,1.6628644398530767,0,12,2,7.485477178423237,0,0,0.0,0.0,6.101149207504642,5.453749957754068,,15.304924242424242,20,10,0.001893939393939394,9.012758035765627,4.333333333333333,13,149.33333333333334,448,3.3333333333333335,10,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,b2d846f8-9fd5-4923-a827-5e5d2273506b,8,['94cce3e5-641f-4a89-9cd3-07c059523e77']
409,408,13,1,1.9951100244498778,1.6967976040315398,0,11,2,7.075268817204301,0,0,0.0,0.0,5.8462148251273796,5.200313921322054,inf,12.647921760391197,16,8,0.0024449877750611247,8.11302075842562,4.5,9,161.5,323,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,1971d31a-a126-4e6d-86fe-3136c90f9931,9,['94cce3e5-641f-4a89-9cd3-07c059523e77']
421,420,13,1,1.995249406175772,1.7101912085804076,0,11,2,7.177083333333333,0,0,0.0,0.0,5.874311913296777,5.228032476070638,inf,12.197149643705464,15,8,0.0023752969121140144,8.199864268747879,4.5,9,167.0,334,2.5,5,-inf,bragg,exp_data_CAI_clip_exp-02-23_142626-LLaMEA-gpt-4o-bragg,d0823c2d-0292-4f04-b141-ac2d71e20848,10,['94cce3e5-641f-4a89-9cd3-07c059523e77']
