evaluations raw_y x0 x1
1 11.8616556592 1.444792 59.528001
2 11.7952972107 1.346509 82.232677
3 17.9438575740 1.237770 122.057694
4 19.2206743066 1.591223 101.819351
5 33.4773245972 1.522257 144.587810
6 50.2676055082 2.283867 139.103012
7 28.5114860843 2.444351 77.262394
8 6.0251393396 2.138493 62.608559
9 34.8347533500 1.537938 147.562178
10 5.2603943678 1.952246 54.953675
11 21.4706259231 2.239696 75.515225
12 17.2378124753 1.595043 97.787161
13 50.2508046145 2.278588 137.784368
14 47.2780581830 2.253661 118.153678
15 13.0536536672 1.327412 94.592510
16 14.1065868961 1.434980 98.591674
17 28.1286814629 2.301296 81.691561
18 37.0233065399 1.821688 122.144638
19 2.9919147393 2.085912 54.653615
20 43.9830801303 2.925403 83.346017
21 49.3184216630 2.830914 143.036173
22 42.9031125801 2.103679 115.756440
23 21.2422399151 2.361309 71.071230
24 14.8924527181 2.656541 55.870747
25 23.1762539720 2.192173 79.344863
26 51.0960211108 2.399867 125.738162
27 12.2465961541 1.652595 86.049545
28 50.1680175386 2.750318 99.702505
29 20.4923519807 2.163105 77.125052
30 48.7863528243 2.706830 147.625528
31 8.0592747957 1.721283 57.290649
32 10.4979587815 1.554179 57.833309
33 18.6345030365 1.620204 98.988435
34 3.1865857516 1.901378 60.430012
35 36.2258639439 1.790536 122.783692
36 46.0695846559 2.152752 121.534903
37 12.0823859205 2.317881 62.923954
38 2.4376604802 2.132085 59.285905
39 17.1497323203 1.641979 95.113602
40 3.3902143237 2.054424 54.901343
41 2.2844911430 2.170269 58.032468
42 11.5238439451 1.650503 84.831700
43 39.4929099245 2.104432 108.014152
44 28.3607896818 2.147214 87.887681
45 9.9314208170 1.709142 80.131315
46 1.3918908494 2.026314 60.520710
47 8.5681006707 2.263334 61.296154
48 31.4893755303 1.999202 99.357782
49 2.9919147393 2.085912 54.653615
50 20.8967543714 2.725743 59.888304
51 40.1259071707 2.651922 86.006872
52 12.2396299345 2.088744 70.447052
53 10.9589737419 2.249253 63.964135
54 2.9162457874 2.285933 55.007660
55 8.3363049196 2.149605 64.517499
56 44.7044884689 2.128084 119.008833
57 21.7334923033 2.003828 84.916257
58 19.3184443316 2.260905 72.257431
59 9.9818645781 2.098675 67.758194
60 52.8042957649 2.594282 122.954225
61 3.8845224171 1.908531 58.698232
62 9.8760677789 1.787486 50.000000
63 27.2153643963 1.803427 103.166381
64 6.8466547851 2.062291 50.000000
65 15.6558178462 1.910778 80.836640
66 33.2595820125 2.050238 99.640307
67 1.7340369768 2.138298 55.015778
68 1.1970807698 2.046136 57.873266
69 9.6818924830 1.806485 50.000000
70 1.0682589279 2.095164 56.618234
71 7.2864094519 2.008816 50.326025
72 5.0896558840 1.853264 68.788751
73 3.2207037349 1.951651 64.251725
74 10.0492030127 1.983886 71.540262
75 4.8267604411 1.939036 56.037729
76 4.2147559574 2.308640 50.000000
77 6.4383210644 2.048321 50.885914
78 26.1883678085 2.107186 86.572169
79 0.8461198563 2.042921 58.567666
80 6.9304070811 2.055296 50.000000
81 4.0477385935 2.402378 50.000000
82 6.9205519602 2.056121 50.000000
83 1.7843095058 2.062143 60.391858
84 3.7648095563 1.964792 56.887471
85 0.9210828278 2.078410 57.214132
86 21.1038189533 1.954665 86.149166
87 15.1911745566 1.817105 83.955991
88 3.3715463880 2.026694 55.629802
89 2.5357575357 2.041784 61.669596
90 22.9707442195 2.679867 63.411419
91 1.7375395498 2.104461 59.328428
92 5.2459841445 2.062608 52.303760
93 11.1603924884 1.378634 81.680820
94 3.4776992703 1.904804 59.635102
95 4.7552016590 2.031851 53.650582
96 22.8126747111 2.000153 86.502269
97 5.8744391485 2.002279 52.721094
98 2.5979352410 2.004452 57.317573
99 6.9413342738 2.054382 50.000000
100 0.9768560339 2.094094 58.808659
101 0.8276770898 2.164060 56.195676
102 2.8550094845 2.087203 54.785882
103 8.8449493602 1.886419 50.000000
104 7.2401127852 1.953869 51.600726
105 6.2576771166 2.110969 50.000000
106 3.7627671729 2.195288 51.786193
107 7.7566004659 1.945228 50.855265
108 14.1159830821 2.148509 70.414844
109 1.2907189928 2.022834 60.396468
110 10.3716716542 1.738435 50.000000
111 4.7344693200 2.242372 50.000000
112 7.1743719539 2.034775 50.000000
113 2.7247722203 1.962052 58.621788
114 3.5674791785 2.295741 55.511704
115 3.7881343360 2.031889 54.948169
116 7.3794117386 1.912190 70.541177
117 5.1480723598 1.846881 68.996864
118 8.2123512133 1.932601 50.260760
119 2.8391757518 2.016102 56.629996
120 5.3828654860 2.183548 50.000000
121 3.7407473838 2.220870 58.005994
122 2.2533264635 2.277616 53.550516
123 13.6023621873 1.383369 53.997351
124 3.2057568854 1.860661 63.869445
125 5.3204317460 2.188886 50.000000
126 14.2664723379 2.114822 71.736332
127 3.9692454972 2.028033 54.805610
128 2.1746417522 2.045174 56.649648
129 5.2817447457 2.192216 50.000000
130 0.9228430146 2.116869 58.161616
131 5.0789264881 2.235125 58.882568
132 4.7517493615 2.240651 50.000000
133 0.6051215455 2.121784 56.588592
134 7.5559921230 2.002166 50.000000
135 7.0991590952 2.041126 50.000000
136 2.0863158532 1.942156 61.815847
137 2.5940956985 2.080827 55.236343
138 1.7691044171 2.178174 54.410862
139 1.6186012092 2.104554 59.205093
140 4.2409351862 2.155302 51.843335
141 4.1313767648 2.325010 50.000000
142 7.0088521204 2.048722 50.000000
143 2.1798844867 1.996051 58.215031
144 3.8056996816 2.336540 54.447287
145 2.7199474828 2.093880 54.795562
146 7.1297907284 2.038542 50.000000
147 3.0145084677 1.938881 59.047732
148 3.8125285590 2.084987 53.686203
149 1.9741995735 2.056758 56.573616
150 8.1373518740 1.951092 50.000000
151 3.4076693036 2.185322 58.723944
152 2.8328645052 2.226564 56.891403
153 9.5310182019 1.502262 67.275303
154 3.1880253430 1.864223 63.135489
155 3.8448827232 2.088430 53.573823
156 5.1722056402 2.171359 60.831516
157 0.7344971369 2.126931 56.356421
158 0.8099276993 2.080573 57.281022
159 4.8727232513 2.228941 50.000000
160 0.4070168760 2.130949 56.897222
161 2.9776372708 2.065128 55.151238
162 6.1602923617 2.012943 52.043695
163 5.5445983749 2.227463 59.546870
164 6.7497660353 1.994787 51.510337
165 4.0265227177 2.006245 55.294692
166 3.4076441422 1.959641 64.371576
167 1.2788375818 2.144418 57.735068
168 5.5068238071 2.173055 50.000000
169 2.4086936665 2.066032 55.811743
170 2.9950073027 2.328866 53.334632
171 4.0698913303 2.340071 50.000000
172 3.2000500682 2.117138 53.758076
173 1.8191975852 2.134827 58.585298
174 1.1025059488 2.181186 55.447806
175 0.2785278905 2.104311 57.258516
176 5.9923842780 2.132770 50.000000
177 3.7619190622 2.071824 54.034874
178 1.4543236945 2.143205 57.962587
179 0.5392586668 2.138459 56.558648
180 3.7319461128 2.172691 52.162316
181 0.6805405062 2.112390 58.030759
182 1.2260617887 2.192299 55.236942
183 5.9636986055 1.713521 71.965670
184 2.3541785178 1.947263 59.994393
185 1.2145967137 2.057926 57.466411
186 2.0317294742 2.166851 54.226131
187 1.8061472025 2.161082 57.802872
188 0.3694946036 2.116944 57.542491
189 3.5162093331 2.156933 52.669669
190 0.5860187335 2.125188 56.567165
191 0.9782340446 2.155904 55.709369
192 1.3438521699 2.008732 60.560848
193 0.6577746010 2.104403 58.221937
194 2.3890089577 2.069669 55.744512
195 0.2889810976 2.085343 58.227682
196 2.5917693350 2.101870 60.259622
197 2.5850259175 2.166648 58.447333
198 5.8567379849 2.143943 50.000000
199 0.9620084206 2.071342 57.369587
200 5.6981058328 2.308860 57.304790
201 1.5153522602 2.204780 54.602061
202 1.9325645347 2.143022 58.467586
203 2.4981302944 2.104181 60.104281
204 1.5390479935 2.088504 56.258883
205 0.8901589292 2.108911 58.344580
206 4.8826956048 2.171306 50.807454
207 2.2352641280 2.109095 55.021006
208 2.6443518174 2.136443 59.370252
209 0.7223606297 2.153741 56.585182
210 3.7145384230 2.218606 58.047187
211 0.8933850471 2.077940 57.259293
212 1.4374121788 2.138960 55.341306
213 2.1047158247 2.030656 61.388535
214 1.8154095337 2.068001 56.460783
215 0.6799121976 2.049666 59.083790
216 2.2033891501 2.144683 54.376953
217 0.2811912581 2.120339 57.093693
218 0.6166614027 2.129330 57.439492
219 0.2026310432 2.089945 57.715441
220 0.5607576286 2.111194 56.814734
221 0.8902007116 2.160476 56.655256
222 4.5307048004 2.068349 63.121002
223 2.8747917944 2.057200 55.470632
224 1.1225585039 2.128806 58.032108
225 2.1687744938 2.137426 58.866725
226 1.7387028438 2.151171 58.028354
227 0.1773792298 2.110141 57.517880
228 5.9511783261 2.147348 62.277710
229 0.6427213225 2.079453 58.759262
230 1.4823087486 2.204943 55.834280
231 1.3369707730 2.054691 57.412567
232 2.8180315229 2.144442 59.317709
233 0.4005974245 2.070488 58.501583
234 0.9874489519 2.139304 55.874559
235 0.5763114534 2.108765 58.020545
236 2.3875868966 2.151569 54.051725
237 1.5313677691 2.120578 55.566800
238 0.6026675858 2.122385 57.649819
239 0.4603012041 2.129777 56.711856
240 4.5670151626 2.168012 60.348985
241 0.8795372092 2.121204 57.992589
242 0.5537787271 2.136635 56.520031
243 2.1413989047 2.240690 55.530253
244 1.2296020861 2.148891 55.446737
245 1.2909343761 2.080455 59.454941
246 1.8421713474 2.148776 54.718578
247 0.6513003354 2.099152 56.974346
248 0.2701589669 2.114286 57.501080
249 1.2553593042 2.063199 59.772039
250 0.2585885445 2.119394 57.180268
251 1.3884731061 2.162846 57.277933
252 1.3856497116 2.089492 59.343892
253 0.8555307215 2.135599 56.089251
254 2.4360944798 2.147501 58.850113
255 0.3004075870 2.112705 57.597030
256 1.3648215888 2.069480 59.772708
257 0.8199087808 2.086010 57.120966
258 2.0507483542 2.142424 58.605446
259 0.6317522796 2.101500 58.269184
260 1.6721280023 2.130006 55.232680
261 1.1651675406 2.026979 58.664799
262 1.5057111602 2.122068 58.621472
263 0.6370122400 2.090130 57.214296
264 0.5712846791 2.143849 56.654087
265 0.6454101623 2.105449 56.839127
266 1.1711020183 2.133150 55.742148
267 0.3647566394 2.116317 56.966963
268 0.5535597031 2.109022 56.864619
269 0.2626785113 2.099351 57.383975
270 2.0457956925 2.161769 58.036458
271 0.8140902246 2.123234 57.862273
272 0.2458539533 2.113556 57.492317
273 2.4752406890 2.186219 53.432823
274 0.6249441278 2.146877 56.692190
275 0.5900507126 2.054844 58.597626
276 1.9695415609 2.126879 54.960967
277 0.2062874660 2.114279 57.383962
278 0.1383143119 2.107909 57.543360
279 0.4387160426 2.092759 58.273412
280 0.4570752411 2.120000 57.551152
281 0.4718251155 2.117311 57.656076
282 2.6882016949 2.006987 57.111649
283 1.0848198892 2.132342 57.887215
284 0.3802974449 2.128646 57.027676
285 0.0252467197 2.098290 57.709351
286 1.4611770906 2.052366 60.213066
287 0.5167331570 2.117465 57.703479
288 4.1978339621 2.166444 51.712433
