evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 0.9185067247 0.323208 0.047485 0.637407 0.435152 0.206826 0.619588 0.479464 0.119377 0.317210 0.088032
2 0.9186161448 0.245503 0.191591 0.244432 0.137813 0.760259 0.709587 0.590837 0.815494 0.613275 0.043768
3 0.9190667797 0.522916 0.200623 0.937639 0.522968 0.430916 0.855788 0.581981 0.730166 0.505591 0.979912
4 0.9185478038 0.534858 0.014549 0.142769 0.236826 0.970035 0.659997 0.955847 0.189684 0.320059 0.129885
5 0.9186438258 0.586409 0.296193 0.005146 0.834242 0.255696 0.892840 0.157387 0.450488 0.322243 0.233913
6 0.9190388490 0.785005 0.462689 0.320903 0.552801 0.512382 0.781157 0.854702 0.883455 0.519793 0.741263
7 0.9186474550 0.257725 0.692618 0.530599 0.496983 0.235854 0.770396 0.111036 0.013886 0.019375 0.739771
8 0.9186267704 0.216988 0.704038 0.140126 0.468298 0.448230 0.125126 0.883223 0.924476 0.406524 0.158337
9 0.9186354698 0.493146 0.704402 0.060060 0.154922 0.263348 0.932109 0.075236 0.633946 0.172898 0.287966
10 0.9184915549 0.968470 0.023284 0.192850 0.128980 0.060047 0.148121 0.401968 0.033828 0.539333 0.519701
11 0.9187926207 0.534562 0.856145 0.857520 0.977746 0.410251 0.597015 0.028887 0.049501 0.559826 0.418405
12 0.9188811278 0.808772 0.374878 0.137125 0.672333 0.379454 0.791869 0.980095 0.839694 0.342370 0.394924
13 0.9189157249 0.451105 0.682165 0.254536 0.487637 0.937728 0.866628 0.134151 0.990724 0.609903 0.440337
14 0.9187755773 0.337885 0.229730 0.835379 0.491621 0.753986 0.981314 0.045415 0.293082 0.092285 0.519941
15 0.9185899933 0.840213 0.743335 0.205054 0.237344 0.450950 0.352810 0.127614 0.457646 0.203366 0.074697
16 0.9187467736 0.197765 0.644053 0.956840 0.759556 0.947256 0.140178 0.032204 0.339854 0.553593 0.654696
17 0.9189709458 0.878790 0.550124 0.151002 0.132824 0.036797 0.924265 0.890859 0.880691 0.874487 0.872821
18 0.9190882980 0.953470 0.653146 0.781738 0.992968 0.147896 0.991951 0.442183 0.101979 0.221854 0.957842
19 0.9184679236 0.432116 0.097762 0.107113 0.254090 0.837663 0.462130 0.016744 0.189133 0.189307 0.035437
20 0.9186489548 0.153398 0.542759 0.590637 0.337100 0.156499 0.312728 0.660186 0.163162 0.387971 0.939387
21 0.9187989018 0.575706 0.607465 0.000000 0.319588 1.368628 0.946496 0.636102 0.712885 0.764478 0.050975
22 0.9185054047 0.283395 0.472987 0.474139 0.524061 0.903534 0.397843 0.337086 0.102125 0.618749 0.000000
23 0.9186872409 0.739134 0.629060 0.000000 0.000000 0.669641 0.226334 0.375126 0.926532 0.440447 0.401312
24 0.9185041618 0.000000 0.370808 0.000000 0.024971 0.862090 0.000000 0.627960 0.976769 0.386996 0.000000
25 0.9193292626 0.990089 1.017130 0.753507 0.933467 0.000000 1.273939 0.477278 0.368866 0.212009 1.109360
26 0.9191969284 1.236003 0.740235 0.362786 1.101396 0.000000 0.878284 1.002991 0.429946 0.371905 0.882832
27 0.9184881251 0.896752 0.664154 0.000000 0.094825 0.501156 0.041300 0.110412 0.395277 0.261579 0.000000
28 0.9185514362 0.182176 0.421062 0.808150 0.206093 0.604520 0.554659 0.000000 0.000000 0.077380 0.455719
29 0.9185934577 0.417130 0.071609 0.000000 0.270536 0.979079 0.020025 0.733012 0.530570 0.192021 0.567691
30 0.9184488397 0.682421 0.578936 0.187004 0.000000 0.783659 0.228940 0.024195 0.094777 0.147018 0.000000
31 0.9187775222 0.682569 0.843728 0.594079 0.419906 0.660666 0.758521 0.000000 0.583171 0.181917 0.127005
32 0.9185772886 0.320188 0.306887 0.142562 0.220011 0.656947 1.011385 0.000000 0.462759 0.250087 0.064279
33 0.9184754595 0.000000 0.229635 0.162788 0.000000 0.324746 0.273830 0.459286 0.340654 0.370071 0.482580
34 0.9186661490 0.135847 0.544154 0.951959 0.662843 0.339507 0.408788 0.057640 0.000000 0.213825 0.827273
35 0.9184597113 0.374085 0.000000 0.472580 0.390134 0.458193 0.560098 0.107891 0.000000 0.073014 0.000000
36 0.9186894454 0.463901 0.645263 0.989474 0.518864 0.758264 0.544166 0.031214 0.000000 0.173521 0.461844
37 0.9191308158 0.763363 0.822095 0.189367 0.699733 0.669989 0.874656 0.545754 1.182041 0.341239 0.571653
38 0.9184522349 0.212150 0.000000 0.000000 0.173691 0.714301 0.484032 0.499784 0.224911 0.608487 0.074204
39 0.9185164107 0.340198 0.430205 0.708897 0.048031 0.855506 0.269531 0.307996 0.441272 0.449423 0.011735
40 0.9187791455 0.469674 0.452595 0.470778 0.412044 0.169905 1.120721 0.332793 0.078471 0.154623 1.011514
41 0.9186093328 0.575706 0.121673 0.605351 0.233521 1.368628 0.613419 0.317635 0.297058 0.263257 0.050975
42 0.9185067337 0.371042 0.164108 0.157934 0.167130 0.839634 0.536276 0.232395 0.320500 0.572628 0.072389
