alg,xval,yval,run
CMA,1,0.255,0
CMA,2,0.25,0
CMA,4,0.24,0
CMA,8,0.235,0
CMA,16,0.22,0
CMA,32,0.205,0
CMA,64,0.1775,0
CMA,128,0.1575,0
CMA,256,0.156,0
CMA,512,0.155,0
CMA,1000,0.155,0
QODE,1,0.2555,0
QODE,2,0.235,0
QODE,4,0.225,0
QODE,8,0.21,0
QODE,16,0.2,0
QODE,32,0.192,0
QODE,64,0.182,0
QODE,128,0.158,0
QODE,256,0.1562,0
QODE,512,0.15,0
QODE,1000,0.1437,0
BFGS,1,0.2555,0
BFGS,2,0.2555,0
BFGS,4,0.2555,0
BFGS,8,0.2555,0
BFGS,16,0.2535,0
BFGS,32,0.25,0
BFGS,64,0.232,0
BFGS,128,0.195,0
BFGS,256,0.175,0
BFGS,512,0.168,0
BFGS,1000,0.163,0
QNDE,1,0.2559,0
QNDE,2,0.2354,0
QNDE,4,0.2254,0
QNDE,8,0.216,0
QNDE,16,0.2,0
QNDE,32,0.1922,0
QNDE,64,0.182,0
QNDE,128,0.158,0
QNDE,256,0.1565,0
QNDE,512,0.15,0
QNDE,1000,0.1439,0
DE,1,0.275,0
DE,2,0.254,0
DE,4,0.24,0
DE,8,0.2354,0
DE,16,0.2335,0
DE,32,0.222,0
DE,64,0.21,0
DE,128,0.19,0
DE,256,0.175,0
DE,512,0.165,0
DE,1000,0.155,0
