evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 0.2028672483 121.980667 139.043629 149.297381 195.942712 202.307826 90.383769 34.773003 144.678389 214.344069 62.676114
2 0.2301215979 123.578641 129.839131 159.659741 209.155700 197.880952 149.537356 186.360695 149.752738 134.172687 107.363329
3 0.2414453314 67.732095 218.192897 44.776431 120.848253 171.026214 105.958338 67.564374 137.181106 108.071906 104.260070
4 0.2793718540 139.483938 134.566309 100.588901 226.392918 93.189602 232.728017 192.924679 35.056230 163.022058 123.889792
5 0.2909135970 166.565299 232.502265 211.327830 90.847152 63.967069 126.874065 137.364760 37.799646 115.567135 129.877402
6 0.3005570575 243.859148 61.521675 70.710078 184.319948 163.313171 154.987590 244.967027 239.542857 162.525199 139.208271
7 0.2754047166 116.037890 163.281963 85.921057 90.726588 60.758741 98.457781 80.559505 147.244148 41.844237 145.134016
8 0.2857857055 202.847016 94.984002 183.694630 137.648901 41.488179 37.571152 41.673322 78.946390 230.609041 127.573105
9 0.2226855053 202.777261 177.073181 204.534329 186.710528 188.441338 121.088692 173.942770 141.468347 106.741153 239.533752
10 0.1898816929 111.452024 211.610437 208.878144 224.507905 160.666970 199.635349 177.936603 193.441361 162.735895 61.184911
11 0.3545765430 87.176048 151.113629 143.245464 149.569432 132.533218 97.529375 114.198312 81.572508 166.270797 163.729620
12 0.2824632350 116.020458 66.306426 208.028182 124.006913 139.576231 83.838244 185.705332 115.137465 95.481932 205.082480
13 0.3179404745 155.163067 222.520671 133.875005 40.220630 133.865354 220.459984 161.563856 83.864731 187.566921 163.728754
14 0.2600870076 157.144084 218.498123 86.445684 141.850806 134.891398 38.474349 41.679500 128.175643 72.955943 249.511119
15 0.2832541821 69.896057 206.225982 156.643218 61.687618 98.582393 222.049334 36.392525 178.284123 216.383250 160.783008
16 0.3310824592 134.873221 61.212770 92.868542 102.330849 211.041503 65.941802 109.217757 187.222809 55.763940 169.114943
17 0.2549595096 236.941208 122.627287 65.709896 85.706161 183.690799 60.263081 190.038635 186.729813 47.785064 93.190328
18 0.3053947833 198.231328 124.258278 51.594598 189.984343 216.002668 56.424054 155.179824 111.454712 37.081810 176.687181
19 0.2442928865 207.078508 215.042418 80.612550 60.709325 208.518188 42.250221 206.490283 119.628337 145.875920 223.517546
20 0.2212557830 93.275350 206.036913 207.632430 220.847269 147.056074 164.495314 57.226714 137.977498 159.944963 90.486576
21 0.3252715378 76.289893 94.642890 37.917309 89.819666 223.714978 42.211178 229.219789 92.156147 118.407000 180.989719
22 0.2421273971 162.080600 248.693575 80.195880 121.906830 100.947140 203.357304 109.822227 44.266661 55.822572 101.291141
23 0.2329407540 246.680256 164.341949 158.714274 235.901345 37.370017 106.553175 118.835074 51.095839 90.360471 83.797913
24 0.3270979431 201.584991 103.701868 107.584787 157.422464 88.081528 160.614357 45.577484 68.733583 193.582926 205.385067
25 0.2379317832 96.987363 168.687924 209.276324 196.671583 61.482210 96.487357 125.954314 50.403101 164.095379 106.390817
26 0.2194338474 209.357190 166.121068 244.665784 190.403363 140.535025 151.152862 213.204006 99.698084 170.555488 49.581552
27 0.1957588191 54.797294 223.212147 201.404009 41.827814 168.922500 146.497227 142.601504 61.736167 142.569836 72.087141
28 0.2811361436 43.914352 215.311344 89.829038 193.556100 60.012435 246.646008 244.969422 127.927678 119.709872 232.999575
29 0.2855718577 99.870799 67.100798 68.568442 82.357681 178.186137 173.868778 151.845042 171.567735 209.151962 149.212863
30 0.2743062421 248.281290 238.664715 121.264138 246.423535 225.481206 102.883524 246.460356 249.793324 235.351708 228.025408
31 0.1909509822 115.307142 166.684082 195.731315 204.964670 190.061252 174.418241 146.889707 183.475861 212.119797 62.511070
32 0.1745851609 116.555313 141.247194 197.932138 219.304948 184.858284 160.870473 183.754717 169.182623 143.467804 78.306366
33 0.2013274594 86.308211 214.044534 91.993813 154.697150 169.301919 130.243069 161.530089 158.681342 134.284871 86.494190
34 0.2067944361 115.166523 138.040266 123.558890 225.488649 113.890726 218.203711 181.741381 112.575369 162.975271 82.557729
35 0.2175433780 144.542251 224.815744 209.646836 197.334978 99.774811 137.118333 158.259706 173.011969 148.581147 87.319990
36 0.2349033378 165.699468 116.343920 93.318623 187.635160 162.623418 187.672577 234.926810 238.205439 162.628875 97.039912
37 0.2393854713 111.961516 166.103935 128.321040 211.860112 70.446112 145.166413 129.966469 165.370462 143.882575 100.891481
38 0.2372267131 181.151806 155.461134 198.524194 216.197251 97.284545 182.464874 47.377755 159.360138 205.136823 71.132018
39 0.2825004553 198.177768 200.002066 208.279774 209.730231 186.931445 130.323272 177.144266 186.988657 155.767814 151.530019
40 0.1898816929 111.452024 211.610437 208.878144 224.507905 160.666970 199.635349 177.936603 193.441361 162.735895 61.184911
41 0.2090597675 90.629404 157.587236 196.052841 213.226344 153.844337 180.591343 118.569124 158.225220 163.369112 94.718496
42 0.2468981712 111.896335 120.356317 208.173981 170.265487 150.446166 132.709091 178.693683 161.105918 104.046222 126.454455
43 0.2641311476 129.478812 215.752467 173.198215 69.215985 150.427161 212.379786 173.465211 96.304285 173.016787 104.361071
44 0.2298955202 131.765023 214.345217 171.047348 173.814762 139.465374 67.581170 56.504736 157.868863 154.267416 237.755611
45 0.2512344394 99.592998 206.628820 188.944125 100.254194 143.754815 203.602124 108.984219 179.338912 208.044561 114.687006
46 0.2821790189 120.595612 115.490444 98.031766 103.632944 185.850404 145.063255 155.591243 188.975083 136.694565 157.935449
47 0.2077672228 231.216642 146.702113 110.869715 154.642349 171.363401 89.933407 186.500690 186.813649 84.499087 92.935200
48 0.3140359198 172.627517 143.396319 97.132742 218.492696 181.661477 107.008466 169.073959 150.259489 38.960841 165.599603
49 0.2800791947 121.449945 214.141433 128.498280 95.101456 170.863399 86.653727 203.038871 163.318180 148.626700 136.109531
50 0.2061286225 95.856582 208.527689 207.884046 223.115511 151.491596 185.178730 106.914521 173.099169 161.480203 64.972294
51 0.2423452402 91.839750 110.451178 173.510936 163.669950 193.703791 112.966601 223.693419 158.894427 146.876271 126.546820
52 0.2163938835 149.181750 225.705662 117.073906 166.948451 103.026648 202.698452 119.324965 94.601006 127.479049 92.153760
53 0.1810270105 137.600513 200.215071 176.774418 231.667507 146.148381 134.254687 169.347075 87.498045 104.352704 65.138129
54 0.2607276603 175.536595 129.569344 136.189493 197.228452 104.221378 174.858971 113.978022 137.707688 175.412270 100.438941
55 0.1926490923 109.219567 191.023156 209.034584 215.971188 64.305003 178.182688 127.248940 135.222632 163.235700 78.194248
56 0.1964233867 160.312125 198.731351 233.936116 194.219728 151.202464 175.682813 204.341762 169.776398 168.792388 59.180386
57 0.1748080022 60.650640 215.016881 202.761037 159.335293 165.744586 147.463858 156.376476 152.095499 152.379912 64.105425
58 0.2855160495 60.909246 212.000857 167.797463 210.476246 67.519981 239.139198 234.248095 166.251545 126.858240 129.443191
59 0.1850842918 109.883263 130.576211 162.370757 126.912005 165.167515 195.030651 162.608279 188.062560 191.946118 72.452557
60 0.2688096780 177.463155 216.741749 127.584240 232.976749 193.287099 136.742419 185.867259 218.781707 205.098384 199.070998
61 0.1806901670 112.671695 156.959434 219.913628 218.801587 183.660095 205.182316 220.662656 196.003845 152.640552 65.137078
62 0.1736574262 113.125400 146.818436 216.622846 224.261435 178.498534 166.405114 182.482061 178.671402 148.007167 64.116108
63 0.1734133464 110.945696 202.356937 127.723856 180.134524 169.812728 150.325542 220.536253 178.151246 147.781888 76.052392
64 0.1891531296 104.105776 141.347912 161.800169 222.865207 138.454115 183.602337 177.350951 189.934831 148.439662 61.380549
65 0.1594502240 108.196457 146.311820 206.236637 250.000000 182.980560 159.826642 190.093627 235.713387 161.841919 64.154380
66 0.1821244286 115.083810 155.581040 162.890772 192.828266 175.310846 184.534136 200.027328 203.446327 154.517180 59.529855
67 0.1961644483 113.290446 153.269960 178.809838 250.000000 117.638529 177.701790 181.680117 174.355628 193.485513 61.624655
68 0.2245763359 145.331864 182.526930 205.308326 250.000000 195.209978 236.278888 78.232230 203.252317 181.372010 48.798392
69 0.2788828353 138.423716 159.869266 203.364010 210.768028 187.368548 141.021073 178.575921 159.109644 109.113487 157.347366
70 0.1840167546 112.128049 165.222178 202.680094 223.571765 163.110276 196.630032 183.034603 184.569899 154.237043 76.564005
71 0.2030754809 104.509473 159.624947 222.956971 249.550930 180.578509 211.755371 132.346836 205.254623 147.130283 55.485265
72 0.1779418367 113.969993 147.059110 199.437767 209.554990 156.022616 166.160038 176.754290 190.390170 133.127641 65.867003
73 0.1782308821 106.668594 203.102176 201.512065 201.889134 167.244064 206.249773 186.198178 162.065808 145.874441 57.717686
74 0.2476229807 108.501368 154.547617 234.720029 209.970136 168.366510 108.743292 154.345430 174.684665 186.724143 175.436182
75 0.1761044476 127.969596 172.733559 204.995761 176.384352 178.957162 161.858379 210.264026 171.578454 202.282917 71.324231
76 0.2769772569 110.437652 151.131505 139.097551 110.067783 173.136052 187.189673 179.021650 177.853294 181.106751 149.007687
77 0.2032667696 192.239820 154.951205 182.561266 233.147096 173.070901 153.560641 184.134921 172.467997 117.110454 81.690270
78 0.2195175773 133.014540 150.876012 154.072341 206.421938 207.162811 107.963672 170.306744 125.593322 98.207579 104.422335
79 0.2720747516 116.081240 148.532580 146.422177 161.091230 180.655966 111.965808 199.639072 183.004265 147.425612 153.485935
80 0.1970393088 116.040055 188.054493 207.999490 222.036649 176.147313 175.098623 167.115316 189.506576 154.709833 53.291872
81 0.1846491794 117.719527 121.928382 248.174089 213.992242 173.453934 159.062083 193.106033 194.844203 159.466240 92.089142
82 0.1987469709 128.737101 206.966080 201.257705 229.096715 126.732305 168.309871 163.497916 178.812604 176.733198 77.720310
83 0.1573039934 74.100010 178.022302 201.589345 219.952347 216.057772 166.784446 207.204807 141.326935 114.530393 67.969022
84 0.2360847774 140.045167 148.710209 192.615283 224.637189 183.161463 176.549295 187.124488 186.830822 152.051995 34.154130
85 0.2044990520 120.059221 200.277972 201.575583 227.571171 96.066972 212.210702 169.319222 198.215908 151.366920 64.470617
86 0.1736856744 96.888902 167.108741 226.671875 212.398844 164.458398 174.244386 186.083352 203.844852 145.619392 79.119782
87 0.1726370055 86.964707 177.194807 200.524449 250.000000 167.105961 159.318272 184.817070 209.787109 150.315634 70.135787
88 0.2718861131 98.703781 189.559971 154.846257 209.591044 145.855969 221.791164 202.176692 159.319269 125.155616 183.451773
89 0.2191128253 119.935129 168.564067 237.351359 217.506869 164.932187 203.970991 174.890717 183.162619 149.313712 39.515910
90 0.2220098968 102.902523 192.142424 154.957174 222.579131 176.397402 164.983529 155.272680 176.194692 153.340170 101.291774
91 0.1669761665 96.173374 152.949758 222.973741 225.877904 204.768129 205.743547 247.752479 182.421785 113.037373 68.797632
92 0.1624524081 97.906214 150.588563 220.832612 224.381565 205.237980 169.344658 203.264718 158.833100 143.368724 59.837664
93 0.1763552563 112.424157 192.040180 149.751057 196.360732 198.387069 172.771322 241.285367 154.335701 149.452009 68.350663
94 0.1841915483 73.957276 149.238238 190.814780 219.312671 210.239704 165.509943 188.768463 216.249917 134.482965 52.979768
95 0.1767151260 86.253597 123.702762 204.456876 250.000000 225.302296 171.890898 207.349335 250.000000 144.123169 54.880517
96 0.1769873555 66.646265 184.677076 230.826287 198.364497 204.366260 167.036534 184.324365 143.261759 149.675832 49.158079
97 0.2078938849 107.918150 161.474828 206.951560 250.000000 146.351611 183.992167 210.726210 159.111478 198.496104 48.383062
98 0.2258793995 71.660502 191.511882 206.686909 250.000000 250.000000 227.598633 115.350081 199.243308 166.029576 50.064546
99 0.2838241968 150.525427 156.306244 201.353576 190.899280 209.495990 156.731665 182.191304 134.689904 87.301619 185.744586
100 0.1571861544 89.282145 144.739746 199.510474 221.685707 196.833065 187.207980 192.226846 171.697806 117.577328 77.176531
101 0.1933520759 89.142451 173.467360 229.160045 250.000000 198.488538 195.011485 189.531855 171.493115 126.421295 45.808412
102 0.2168200045 96.317433 164.591513 196.190379 229.588278 164.970701 182.656407 195.357846 178.339019 131.446547 37.169466
103 0.2144536362 76.287452 181.482056 215.190085 250.000000 185.264334 190.003126 192.681603 190.041911 124.722523 43.707732
104 0.3029965675 116.196725 180.386797 164.108686 191.548556 154.631042 129.120895 102.631422 134.404709 138.800010 130.300206
105 0.2028387625 129.059933 158.459381 210.693722 231.655196 202.003910 143.604653 250.000000 142.141707 192.256928 47.445590
106 0.2499707666 97.711248 181.313146 208.029160 142.934286 184.900571 196.499764 191.941021 153.238112 157.029591 124.444053
107 0.1639087471 81.699106 167.715209 233.005289 250.000000 194.302681 188.168435 183.319634 151.156206 131.591336 71.754600
108 0.1573549418 99.412757 172.180852 207.655979 207.325385 219.701722 154.683221 184.851905 127.499556 134.689528 52.150681
