evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 0.5277006419 103.826875 88.711705 49.607444 95.073605 33.444458 124.899524 162.539228 82.863551 67.001942 147.145595
2 0.9026387633 78.512234 194.951226 45.531900 1.678414 207.943780 124.586441 157.194104 20.831513 4.630262 78.060059
3 0.7904493908 172.456135 39.788856 112.736540 208.169466 125.275264 39.999262 3.012513 55.661527 62.448859 60.121922
4 0.4016800080 81.713166 135.545637 48.016210 9.421170 113.210342 171.622689 91.427067 109.211990 90.806975 88.228706
5 0.8210373996 180.859110 34.280037 15.028886 90.420210 54.732730 12.399377 164.566728 86.887054 88.937158 165.064185
6 0.8212753622 3.060249 185.029778 98.895201 63.544871 15.349486 75.676212 124.099506 16.130453 195.697145 149.102739
7 0.4039352378 73.879155 151.031250 47.222297 0.000000 139.490305 186.153246 68.252443 117.630992 99.168038 69.238938
8 0.4686004047 82.133921 125.948697 49.006574 11.031615 99.765873 178.605955 80.777680 123.011395 103.947204 90.262727
9 0.5174469395 61.972259 155.272787 35.326371 0.000000 110.614298 199.693243 110.707998 120.984744 95.922006 94.263125
10 0.4018918821 81.497064 134.786293 48.368896 10.035637 112.519288 171.090111 91.677518 108.548451 90.974917 88.141456
11 0.5062876724 103.496145 114.322483 40.159445 26.140889 100.145916 137.061790 107.663475 104.679679 90.477839 104.414972
12 0.5748986219 46.690560 158.527288 71.696972 34.379534 68.811400 128.865319 105.997945 66.663813 138.613878 116.467281
13 0.4730284597 103.017823 111.704100 35.009728 0.000000 125.990606 186.153246 72.185423 148.142178 75.363828 73.267232
14 0.6838333681 78.285417 150.775165 20.641566 0.000000 99.765873 178.605955 88.060697 151.565051 72.254502 65.926119
15 0.7882244230 39.546422 155.272787 64.559417 34.379534 51.485796 136.989317 131.471279 68.676065 136.666258 131.481794
16 0.5201055955 83.048175 149.078550 25.399936 0.000000 112.519288 214.285714 71.078475 150.223550 73.552915 55.916444
17 0.5436897528 96.055611 128.749905 16.403855 0.000000 129.415008 204.611125 111.707316 143.794264 67.040383 87.031739
18 0.3476720649 98.543286 129.372015 71.696972 34.379534 123.980575 141.590165 100.148332 101.451437 87.610339 91.800698
19 0.4053163617 74.122530 151.197191 47.239780 0.256972 139.619620 186.205014 68.202566 117.659854 99.077753 69.072520
20 0.4683443679 82.199184 125.931530 48.998068 11.098339 99.729073 178.587727 80.850494 123.054374 103.842730 90.331745
21 0.5175277644 61.918882 155.380836 35.340264 0.040445 110.443830 199.683045 110.737777 121.064587 95.823541 94.328557
22 0.4025641037 81.395658 134.922085 48.239807 9.906825 112.521172 170.981517 91.664855 108.655865 90.888983 88.166291
23 0.5053899256 103.504859 114.307693 40.232927 26.155026 100.146167 137.085199 107.703220 104.818206 90.542509 104.378753
24 0.5762540217 46.547260 158.408758 71.796195 34.294043 68.734983 128.964519 106.046340 66.725583 138.594411 116.380821
25 0.9709487199 56.257386 195.223697 51.526971 0.000000 214.285714 214.285714 1.169648 141.246830 121.881936 12.848398
26 0.9186686206 101.765468 75.502140 74.828818 42.212521 39.869533 183.075111 40.901152 180.934070 164.766893 101.451666
27 0.8954448296 13.599504 214.285714 12.079194 0.000000 112.627771 214.285714 182.709745 151.654295 113.319318 117.965579
28 0.3973785035 81.983957 134.686521 48.992242 10.669795 112.882829 170.307585 91.895754 108.395679 90.870511 88.248683
29 0.9846841749 40.232466 192.550173 99.230906 0.000000 164.215306 214.285714 56.149312 113.616707 87.923986 43.579683
30 0.9490639888 189.898677 76.585533 52.096345 13.361295 214.285714 194.624160 80.344402 178.063821 0.000000 39.780867
31 0.9003771470 0.000000 214.285714 42.222393 0.000000 143.427258 214.285714 161.261880 154.786911 111.551402 12.848398
32 0.9820467466 180.283726 74.981419 80.718706 42.212521 184.243469 194.624160 40.901152 161.485747 0.000000 58.219638
33 0.9590238689 214.285714 4.752599 66.077453 38.688808 109.636005 175.897799 104.183304 201.876165 25.730974 92.942827
