Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
532,531,14,1,1.9962406015037595,1.6353242127876089,0,12,2,7.470833333333333,0,0,0.0,0.0,6.112692171181879,5.448225070387119,,15.984962406015038,21,11,0.0018796992481203006,9.178702405731844,4.333333333333333,13,150.33333333333334,451,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),19426eb4-7809-424a-86b2-6c2c717cdffa,0,[None]
532,531,14,1,1.9962406015037595,1.6353242127876089,0,12,2,7.470833333333333,0,0,0.0,0.0,6.112692171181879,5.448225070387119,,15.984962406015038,21,11,0.0018796992481203006,9.178702405731844,4.333333333333333,13,150.33333333333334,451,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),fcbba284-16b3-49e4-97de-6aa7c0361d85,1,['19426eb4-7809-424a-86b2-6c2c717cdffa']
582,581,14,1,1.9965635738831615,1.5979263353054407,0,12,2,7.438931297709924,0,0,0.0,0.0,6.204457385095495,5.535825725953357,,15.982817869415808,21,11,0.001718213058419244,9.349900337727936,3.5,14,124.75,499,2.5,10,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),6836515b-4cd2-4c5a-87c7-051ea2bc804c,2,['19426eb4-7809-424a-86b2-6c2c717cdffa']
566,565,15,1,1.9964664310954063,1.6642984679544006,0,12,2,7.5813953488372094,0,0,0.0,0.0,6.172808170358718,5.520695743479481,,16.851590106007066,22,11,0.0017667844522968198,9.398017448950874,4.333333333333333,13,161.66666666666666,485,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),e7b4d6ae-2681-43f2-97ec-98c25bfbb816,3,['19426eb4-7809-424a-86b2-6c2c717cdffa']
618,617,16,1,1.9967637540453074,1.6763649312428643,0,12,2,7.658450704225352,0,0,0.0,0.0,6.259963185938493,5.616582260680739,,16.181229773462782,21,11,0.0016181229773462784,9.41614870995998,4.333333333333333,13,173.66666666666666,521,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),d0e2369a-82b7-42f2-b34a-4f997cf6efad,4,['19426eb4-7809-424a-86b2-6c2c717cdffa']
701,700,14,1,1.9971469329529243,1.6490646132181253,0,12,2,7.213166144200627,0,0,0.0,0.0,6.386387772114392,5.733122763487384,-inf,15.860199714693294,21,11,0.0014265335235378032,9.318679437538211,3.2,16,121.2,606,2.8,14,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),b0f984b0-7919-4ee4-b46b-f1fd6ccf7727,5,['19426eb4-7809-424a-86b2-6c2c717cdffa']
576,575,16,1,1.9965277777777777,1.7013768325617284,0,12,2,7.5893536121673,0,0,0.0,0.0,6.189042209043474,5.540327519395917,1.6296144718291505e-08,16.086805555555557,21,11,0.001736111111111111,9.228109903381643,4.333333333333333,13,164.33333333333334,493,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),1d261b73-2539-476b-84d1-4274fee939ee,6,['e7b4d6ae-2681-43f2-97ec-98c25bfbb816']
535,534,20,1,1.9962616822429906,2.0411075203074507,0,11,2,6.841463414634147,0,0,0.0,0.0,6.103825549521076,5.482252370983925,-inf,12.19252336448598,16,8,0.001869158878504673,7.853365536070566,3.5,7,216.5,433,2.5,5,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),e1371070-87e5-4ba0-bc95-5a648c36e582,7,['e7b4d6ae-2681-43f2-97ec-98c25bfbb816']
585,584,16,1,1.9965811965811966,1.699133610928483,0,12,2,7.615671641791045,0,0,0.0,0.0,6.204299233356513,5.559291092890856,,16.88888888888889,22,11,0.0017094017094017094,9.395375248799906,4.333333333333333,13,168.0,504,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),47e12f39-ee1a-4750-8e54-06b48579e8b0,8,['e7b4d6ae-2681-43f2-97ec-98c25bfbb816']
578,577,15,1,1.9965397923875432,1.6816489266172578,0,12,2,7.469465648854962,0,0,0.0,0.0,6.193238494022651,5.537229902705401,-inf,15.965397923875432,21,11,0.0017301038062283738,9.074577368922897,4.333333333333333,13,163.33333333333334,490,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),56daafd8-9413-46a9-8f20-fdff0a549242,9,['e7b4d6ae-2681-43f2-97ec-98c25bfbb816']
584,583,16,1,1.9965753424657535,1.695193751172828,0,12,2,7.610486891385768,0,0,0.0,0.0,6.20304156270932,5.555471091420502,1.6397783550362638e-08,16.88527397260274,22,11,0.0017123287671232876,9.392496299255152,4.333333333333333,13,167.66666666666666,503,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),5c0d2f34-eb77-4d78-902d-7dbad4f41c74,10,['e7b4d6ae-2681-43f2-97ec-98c25bfbb816']
635,634,16,1,1.9968503937007873,1.6881790563581125,0,11,2,7.063157894736842,0,0,0.0,0.0,6.287680785327793,5.627466436966353,1.495248563449011e-08,15.355905511811024,20,10,0.0015748031496062992,8.956536426637522,3.3333333333333335,10,176.66666666666666,530,3.0,9,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),3c3f45ff-446c-4631-9bbe-c1655da8fc35,11,['47e12f39-ee1a-4750-8e54-06b48579e8b0']
646,645,16,1,1.9969040247678018,1.70277679264634,0,13,2,7.6925675675675675,0,0,0.0,0.0,6.302991413036038,5.658514423973363,,17.188854489164086,23,12,0.0015479876160990713,9.489293685650514,4.666666666666667,14,182.0,546,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),b4baa2a4-c6be-4b7c-8ac9-4b76097c50fb,12,['47e12f39-ee1a-4750-8e54-06b48579e8b0']
589,588,16,1,1.99660441426146,1.7079680964830608,0,12,2,7.611111111111111,0,0,0.0,0.0,6.210544455216972,5.566917283236208,,16.884550084889643,22,11,0.001697792869269949,9.397040989570701,4.333333333333333,13,170.66666666666666,512,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),ea56cac3-b26f-47e2-9870-e1d2c2c5b77e,13,['47e12f39-ee1a-4750-8e54-06b48579e8b0']
591,590,16,1,1.996615905245347,1.702188209493216,0,12,2,7.665441176470588,0,0,0.0,0.0,6.213855221556374,5.573346195224122,,16.934010152284262,22,11,0.001692047377326565,9.458498953224927,4.333333333333333,13,170.66666666666666,512,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),b88c2aaf-2515-4bb5-b2c4-db943403a4c5,14,['47e12f39-ee1a-4750-8e54-06b48579e8b0']
589,588,16,1,1.99660441426146,1.7079680964830608,0,12,2,7.611111111111111,0,0,0.0,0.0,6.210544455216972,5.566917283236208,,16.884550084889643,22,11,0.001697792869269949,9.397040989570701,4.333333333333333,13,171.33333333333334,514,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),d7716782-1ec3-4857-877e-d1875a5b4e31,15,['47e12f39-ee1a-4750-8e54-06b48579e8b0']
600,599,16,1,1.9966666666666666,1.6966555555555556,0,13,2,7.698181818181818,0,0,0.0,0.0,6.22966339261792,5.583419605269802,-inf,17.216666666666665,23,12,0.0016666666666666668,9.516572064552031,4.333333333333333,13,173.0,519,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),447755cf-5acd-4642-8bd8-33be6d9d6b79,16,['ea56cac3-b26f-47e2-9870-e1d2c2c5b77e']
636,635,16,1,1.9968553459119496,1.7201158973141881,0,12,2,7.642857142857143,0,0,0.0,0.0,6.285975124569725,5.6528084918131505,-inf,16.92295597484277,22,11,0.0015723270440251573,9.564606546823157,4.333333333333333,13,181.0,543,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),692e599d-eef2-4a78-a2d2-d1397e9f1018,17,['ea56cac3-b26f-47e2-9870-e1d2c2c5b77e']
597,596,16,1,1.996649916247906,1.695131155498318,0,12,2,7.663003663003663,0,0,0.0,0.0,6.224971912178672,5.576896116519035,inf,16.941373534338357,22,11,0.0016750418760469012,9.474261688756984,4.333333333333333,13,172.66666666666666,518,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),aa80e2c8-b2b3-4bb7-a5dd-bad1bdea0f65,18,['ea56cac3-b26f-47e2-9870-e1d2c2c5b77e']
670,669,16,1,1.9970149253731344,1.719394074404099,0,13,2,8.056782334384858,0,0,0.0,0.0,6.335011256201936,5.721508197706447,,18.28358208955224,24,12,0.0014925373134328358,10.112326261071326,3.6666666666666665,11,192.0,576,2.3333333333333335,7,-inf,bragg_with_description_insight_(1 + 5),exp_data_CAI_clip_exp-02-23_174053-LLaMEA-gpt-4o-bragg_with_description_insight_(1 + 5),003affe8-3251-46fa-9b33-061636426e95,19,['ea56cac3-b26f-47e2-9870-e1d2c2c5b77e']
