Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
532,531,13,1,1.9962406015037595,1.5789332353439998,0,12,2,7.359832635983263,0,0,0.0,0.0,6.114644977083274,5.443661552403032,1.9735065763715784e-08,15.921052631578947,21,11,0.0018796992481203006,9.182971553176728,3.0,12,109.25,437,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",a46d8abb-5dd2-4f6f-80ac-fd2a11782943,0,[None]
509,508,14,1,1.9960707269155207,1.6306328908719663,0,12,2,6.957081545064377,0,0,0.0,0.0,6.066848464988869,5.414896973138484,,16.280943025540275,22,11,0.0019646365422396855,9.013396655477004,2.2,11,87.4,437,2.6,13,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",708c8d87-2ffb-4118-a3cd-1e3fa1bc7585,1,[None]
590,589,17,1,1.9966101694915255,1.7355817293881073,0,12,2,7.390334572490707,0,0,0.0,0.0,6.211810320309602,5.558167387693217,,15.922033898305084,21,11,0.001694915254237288,9.21286869442606,3.25,13,118.75,475,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",57bf9049-c220-4e99-954c-271488a38f11,2,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
629,628,14,1,1.9968203497615262,1.5993539597766664,0,12,2,7.508650519031142,0,0,0.0,0.0,6.278846813228599,5.632009875526673,-inf,16.069952305246424,21,11,0.001589825119236884,9.459560722205907,3.5,14,127.25,509,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",463c7386-172d-4e0a-a74d-08ec51493b53,3,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
517,516,15,1,1.9961315280464216,1.6440856151955376,0,12,2,7.0042194092827,0,0,0.0,0.0,6.082243372431465,5.4328592904716935,,16.32495164410058,22,11,0.0019342359767891683,9.03466630680881,2.2,11,89.6,448,2.6,13,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",89118698-59f0-40b2-9df0-86747ba43d0d,4,['708c8d87-2ffb-4118-a3cd-1e3fa1bc7585']
525,524,15,1,1.9961904761904763,1.6647473922902496,0,12,2,7.016597510373444,0,0,0.0,0.0,6.096528803113618,5.448277497448984,2.0389478930982563e-08,16.34095238095238,22,11,0.0019047619047619048,9.05163213376954,2.2,11,90.8,454,2.6,13,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",52751c9f-7c10-4c32-b603-1ecaae406efb,5,['708c8d87-2ffb-4118-a3cd-1e3fa1bc7585']
587,586,13,1,1.9965928449744463,1.5843154781770852,0,12,2,7.378277153558052,0,0,0.0,0.0,6.211333163186853,5.554151086940415,,16.00681431005111,21,11,0.0017035775127768314,9.480054188881976,2.6,13,94.8,474,2.4,12,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",b6505ad1-9e66-4b66-afd5-3f7288852f5b,6,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
830,829,15,1,1.997590361445783,1.650596603280592,0,12,2,7.779840848806366,0,0,0.0,0.0,6.555366921880205,5.902097360336098,,16.243373493975902,21,11,0.0012048192771084338,9.509352246137748,4.25,17,166.5,666,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",8f54f766-bf35-4169-a641-0c4ef2bd68d4,7,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
542,541,13,1,1.996309963099631,1.5756321400852384,0,12,2,7.348360655737705,0,0,0.0,0.0,6.133215824352482,5.465020417689319,,15.924354243542435,21,11,0.0018450184501845018,9.226053979578612,3.0,12,111.0,444,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",48b25396-3bb6-42d8-9511-bf67d2a66de9,8,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
535,534,13,1,1.9962616822429906,1.5812944361953007,0,12,2,7.398340248962656,0,0,0.0,0.0,6.119880300329461,5.450586981367819,,16.68785046728972,22,11,0.001869158878504673,9.276586509853338,3.0,12,110.25,441,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",459ccdb4-88bd-4db9-b451-bdb200293239,9,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
595,594,14,1,1.9966386554621849,1.596627356825083,0,13,2,7.400749063670412,0,0,0.0,0.0,6.2262457802986075,5.554439572097005,,16.314285714285713,22,11,0.0016806722689075631,9.407328183798771,3.25,13,121.75,487,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",5eca0395-6165-4654-9398-32e32076e3de,10,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
564,563,15,1,1.99645390070922,1.6382852975202453,0,12,2,7.3803921568627455,0,0,0.0,0.0,6.1708524595985965,5.509864052149777,1.810512856534233e-08,15.945035460992909,21,11,0.0017730496453900709,9.188132219744782,3.0,12,119.5,478,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",62ad28a3-d55d-49a2-b74f-81163bae2e94,11,['a46d8abb-5dd2-4f6f-80ac-fd2a11782943']
588,587,15,1,1.9965986394557824,1.6326414919709384,0,12,2,7.438202247191011,0,0,0.0,0.0,6.212227859513262,5.555522077512693,,15.989795918367347,21,11,0.0017006802721088435,9.25758787330946,3.0,12,124.75,499,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",ce3191d3-b6f9-4131-a477-ad29c76a3079,12,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
568,567,15,1,1.9964788732394365,1.647874925609998,0,12,2,7.392996108949417,0,0,0.0,0.0,6.177307487336273,5.517800807912598,,15.954225352112676,21,11,0.0017605633802816902,9.19718309859155,3.0,12,122.0,488,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",3cbf2c52-d3c2-4f8e-96c9-0c0702714ce1,13,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
568,567,15,1,1.9964788732394365,1.6373115453283078,0,12,2,7.389105058365759,0,0,0.0,0.0,6.177855524064266,5.518021312255029,,15.94894366197183,21,11,0.0017605633802816902,9.207771319273666,3.0,12,120.75,483,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",ac11be90-f6c8-4b83-97e0-949d6f63eb54,14,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
579,578,15,1,1.996545768566494,1.6372937677670691,0,12,2,7.486692015209125,0,0,0.0,0.0,6.1966404407421205,5.539103884724722,,16.037996545768568,21,11,0.0017271157167530224,9.311878850900312,3.0,12,123.75,495,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",59e5f249-e36e-4fe6-b6e6-114b8add3000,15,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
665,664,15,1,1.9969924812030075,1.6029984736276783,0,12,2,7.506666666666667,0,0,0.0,0.0,6.337226582108354,5.675176561385305,inf,16.03308270676692,21,11,0.0015037593984962407,9.247422773801976,3.75,15,140.5,562,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",848b35c8-d1da-41e9-8715-a3d6f01256e4,16,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
622,621,15,1,1.9967845659163987,1.6044912687006958,0,12,2,7.455516014234876,0,0,0.0,0.0,6.270251396542255,5.608488248523991,,15.996784565916398,21,11,0.001607717041800643,9.23593830094599,3.75,15,130.75,523,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",ec4d498e-3134-43e1-9094-ce6123aaa528,17,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
564,563,15,1,1.99645390070922,1.6382852975202453,0,12,2,7.3803921568627455,0,0,0.0,0.0,6.1708524595985965,5.509864052149777,1.810512856534233e-08,15.945035460992909,21,11,0.0017730496453900709,9.188132219744782,3.0,12,119.5,478,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",b194567d-860b-4023-822b-e371962840a9,18,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
861,860,16,1,1.9976771196283392,1.6678227110792763,0,12,2,7.760204081632653,0,0,0.0,0.0,6.591435772449839,5.941174056302012,,16.221835075493612,21,11,0.0011614401858304297,9.476968371012614,4.25,17,172.0,688,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",bce30eca-9dc9-4e01-b41b-380d117f61f4,19,['8f54f766-bf35-4169-a641-0c4ef2bd68d4']
840,839,15,1,1.9976190476190476,1.647613378684808,0,12,2,7.767015706806283,0,0,0.0,0.0,6.567358204915989,5.915566511296648,2.2004733619945345e-08,16.241666666666667,21,11,0.0011904761904761906,9.542684034281173,4.25,17,168.25,673,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",9a4130fe-5dcc-415c-8735-7e4a97e54526,20,['8f54f766-bf35-4169-a641-0c4ef2bd68d4']
671,670,15,1,1.9970193740685545,1.67212226341004,0,13,2,7.661184210526316,0,0,0.0,0.0,6.342687458826332,5.686574276187809,,16.40983606557377,22,11,0.0014903129657228018,9.371790822341348,4.0,16,141.75,567,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",33756f22-d9ad-494e-904d-3a5ef586a9e0,21,['62ad28a3-d55d-49a2-b74f-81163bae2e94']
663,662,13,1,1.9969834087481146,1.589734489920809,0,12,2,7.28,0,0,0.0,0.0,6.333617434549972,5.672327205275149,,15.920060331825038,21,11,0.0015082956259426848,9.443270313005518,3.0,15,110.4,552,2.4,12,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",b2d95e7f-72d9-4290-a298-abc119a30c2e,22,['9a4130fe-5dcc-415c-8735-7e4a97e54526']
1073,1072,17,1,1.9981360671015844,1.6868557988203197,0,12,2,7.75251509054326,0,0,0.0,0.0,6.808960623999419,6.1769582019170794,,17.06337371854613,22,11,0.0009319664492078285,10.04349988176545,3.6,18,175.0,875,2.4,12,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",9114801c-6e27-4d20-baa9-7bcf14c86730,23,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
910,909,16,1,1.9978021978021978,1.6769182465885764,0,12,2,7.800959232613909,0,0,0.0,0.0,6.645600796469694,6.0031218563410675,1.2674862106312111e-08,16.26043956043956,21,11,0.001098901098901099,9.525920284336125,4.25,17,184.25,737,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",dd5eaac9-5ffa-4a27-a300-41d80652c84a,24,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
907,906,16,1,1.9977949283351708,1.6979003195773652,0,12,2,7.740384615384615,0,0,0.0,0.0,6.641440338105798,6.001834824597177,inf,16.19845644983462,21,11,0.0011025358324145535,9.398842945839448,4.25,17,182.5,730,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",18920634-d05b-4fc1-8d8a-b6f2d61bf979,25,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
891,890,16,1,1.9977553310886644,1.6677839625838133,0,13,2,7.818627450980392,0,0,0.0,0.0,6.625105500207427,5.980583732499037,inf,16.43658810325477,22,11,0.001122334455667789,9.560423208363284,4.25,17,179.25,717,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",c53bdedb-7968-48d4-b4c8-8b51419651da,26,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
598,597,13,1,1.9966555183946488,1.558517242536437,0,15,2,7.546125461254612,0,0,0.0,0.0,6.232481330038974,5.561347988321366,,17.17056856187291,24,12,0.0016722408026755853,9.418777275451953,3.5,14,124.25,497,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",e648288c-8c10-418b-acd4-6ee935ea540a,27,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
840,839,15,1,1.9976190476190476,1.647613378684808,0,12,2,7.767015706806283,0,0,0.0,0.0,6.567358204915989,5.915566511296648,2.2004733619945345e-08,16.241666666666667,21,11,0.0011904761904761906,9.542684034281173,4.25,17,168.25,673,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",55b3488b-dc5a-4cc4-8f31-554f269f46bf,28,['9a4130fe-5dcc-415c-8735-7e4a97e54526']
950,949,16,1,1.9978947368421052,1.6715745152354569,0,12,2,7.799076212471132,0,0,0.0,0.0,6.689407451208183,6.04253393501805,,16.246315789473684,21,11,0.0010526315789473684,9.45824413510066,4.75,19,191.5,766,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",a54b6203-148c-42e9-92b7-5e3535f64acd,29,['bce30eca-9dc9-4e01-b41b-380d117f61f4']
870,869,15,1,1.9977011494252874,1.6758567842515524,0,12,2,7.797979797979798,0,0,0.0,0.0,6.601373290658684,5.9518103798221365,,16.26896551724138,21,11,0.0011494252873563218,9.543885824636588,4.25,17,173.75,695,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",c9d5e91d-ef6f-4d5c-84ce-85945d3727e2,30,['9a4130fe-5dcc-415c-8735-7e4a97e54526']
868,867,15,1,1.9976958525345623,1.6705016033468538,0,12,2,7.799492385786802,0,0,0.0,0.0,6.599681721814138,5.946664593816421,2.2214702019432268e-08,16.264976958525345,21,11,0.001152073732718894,9.537140093228942,4.25,17,173.25,693,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",676110be-cd3e-473b-858e-6318011d22b1,31,['9a4130fe-5dcc-415c-8735-7e4a97e54526']
940,939,16,1,1.9978723404255319,1.678718877320055,0,12,2,7.708624708624709,0,0,0.0,0.0,6.678111641528961,6.030013608653143,,16.209574468085105,21,11,0.0010638297872340426,9.666890988602633,3.8,19,151.2,756,2.2,11,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",28d25ac3-7a92-484c-a823-760b50a4df95,32,['55b3488b-dc5a-4cc4-8f31-554f269f46bf']
918,917,16,1,1.9978213507625273,1.6819124648164763,0,13,2,7.886255924170616,0,0,0.0,0.0,6.6542241581598525,6.01375153129452,-inf,16.49128540305011,22,11,0.0010893246187363835,9.636887834014013,4.25,17,185.0,740,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",7d11dc16-0a4f-4fc8-b1d2-e0322ea72a51,33,['c53bdedb-7968-48d4-b4c8-8b51419651da']
899,898,16,1,1.9977753058954393,1.7130095112478207,0,12,2,7.780193236714976,0,0,0.0,0.0,6.6314043979767305,5.996765840713487,,16.25250278086763,21,11,0.0011123470522803114,9.506464743057741,4.75,19,180.5,722,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",b9baf610-8540-4235-9159-b16a6cca352e,34,['55b3488b-dc5a-4cc4-8f31-554f269f46bf']
898,897,16,1,1.9977728285077951,1.6792823448296388,0,13,2,7.839416058394161,0,0,0.0,0.0,6.632647848977827,5.987914962038712,,17.29621380846325,23,12,0.0011135857461024498,9.610689429998038,4.25,17,181.0,724,2.25,9,-inf,"bragg_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_180646-LLaMEA-gpt-4o-bragg_with_description_insight_(2, 10)",00676039-309a-459b-adbe-0adb15758ac6,35,['c53bdedb-7968-48d4-b4c8-8b51419651da']
