Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
230,229,10,1,1.991304347826087,1.4868809073724005,0,10,2,6.754901960784314,0,0,0.0,0.0,5.281361046350179,4.591332640207363,-inf,11.143478260869566,14,7,0.004347826086956522,7.504727548889311,3.0,6,98.0,196,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3,0,[None]
290,289,15,1,1.993103448275862,1.7102972651605233,0,12,2,7.039370078740157,0,0,0.0,0.0,5.506398357156469,4.799835137409696,,13.689655172413794,17,9,0.0034482758620689655,8.23195322753848,2.3333333333333335,7,82.0,246,2.0,6,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",d281abf8-7b1f-44f6-90ce-bffad6341adf,1,[None]
246,245,10,1,1.991869918699187,1.4958688611276356,0,11,2,7.009009009009009,0,0,0.0,0.0,5.346462814651455,4.672766083003928,2.124618445607885e-08,11.983739837398375,15,8,0.0040650406504065045,7.785664509706321,3.0,6,105.0,210,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",e8f14dcb-d7c8-419b-a219-4a2305365fb6,2,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
248,247,10,1,1.9919354838709677,1.4999349635796042,0,10,2,6.882882882882883,0,0,0.0,0.0,5.354927262412539,4.676717919754683,,11.185483870967742,14,7,0.004032258064516129,7.597753689434504,3.0,6,104.5,209,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",05fbe594-39d5-4bee-aa81-0c1dd9bf0cce,3,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
245,244,11,1,1.9918367346938775,1.5427905039566845,0,10,2,6.747663551401869,0,0,0.0,0.0,5.3440346966695325,4.639899745696692,inf,11.093877551020409,14,7,0.004081632653061225,7.457811977249916,3.0,6,104.5,209,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",9549ed5a-5053-403d-bd08-612b7467ff9c,4,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
230,229,10,1,1.991304347826087,1.4868809073724005,0,10,2,6.754901960784314,0,0,0.0,0.0,5.281361046350179,4.591332640207363,-inf,11.143478260869566,14,7,0.004347826086956522,7.504727548889311,3.0,6,98.0,196,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",eefd9738-dfc2-4799-84d7-eaf62d5ef2a4,5,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
230,229,10,1,1.991304347826087,1.4868809073724005,0,10,2,6.754901960784314,0,0,0.0,0.0,5.281361046350179,4.591332640207363,-inf,11.143478260869566,14,7,0.004347826086956522,7.504727548889311,3.0,6,98.0,196,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",6f519570-51ea-4343-a7d4-fb42bea73963,6,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
342,341,15,1,1.9941520467836258,1.654936561677097,0,12,2,7.516556291390729,0,0,0.0,0.0,5.672363255065932,4.971326724138839,8.27055057457705e-09,14.616959064327485,19,10,0.0029239766081871343,9.029754248769528,2.3333333333333335,7,99.0,297,2.0,6,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",88bc6542-14cb-490d-8107-fe604ae91c16,7,['d281abf8-7b1f-44f6-90ce-bffad6341adf']
240,239,10,1,1.9916666666666667,1.5082638888888893,0,10,2,6.861111111111111,0,0,0.0,0.0,5.321248336404243,4.648389012081905,inf,11.795833333333333,15,8,0.004166666666666667,7.648953974895398,3.0,6,104.5,209,2.5,5,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",c1babeea-9d76-4380-a825-849e58ff3631,8,['e477ea0a-5ec6-449b-b4bc-26d5cfb78cc3']
308,307,15,1,1.9935064935064934,1.7402175746331592,0,12,2,7.021897810218978,0,0,0.0,0.0,5.56279723468021,4.877697823915003,inf,13.720779220779221,17,9,0.003246753246753247,8.236473624095774,2.3333333333333335,7,88.66666666666667,266,2.0,6,-inf,"ellipsometry_with_description_insight_(2, 10)","exp_data_CAI_clip_exp-02-23_190337-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(2, 10)",d650e9c7-dd08-4550-a473-cc18760729b6,9,['d281abf8-7b1f-44f6-90ce-bffad6341adf']
