Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
349,348,17,1,1.994269340974212,1.7420875033866716,0,11,2,6.75,0,0,0.0,0.0,5.693080803714054,4.995772200114848,-inf,13.008595988538682,17,9,0.0028653295128939827,7.982215196126865,3.0,9,96.0,288,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),dee3cea6-f448-451d-9ff8-0cd57f77bcf9,0,[None]
238,237,9,1,1.9915966386554622,1.39488736671139,0,12,2,6.828571428571428,0,0,0.0,0.0,5.320662612570383,4.6113573404591115,,13.65126050420168,18,9,0.004201680672268907,8.02492642626671,4.0,8,102.5,205,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),206b53d4-5a4a-41bc-80d4-955d2215dc87,1,[None]
249,248,8,1,1.9919678714859437,1.357365203787036,0,10,2,6.36936936936937,0,0,0.0,0.0,5.36558635341361,4.673872155038009,,13.714859437751004,18,9,0.004016064257028112,8.265707993263376,2.25,9,54.0,216,2.75,11,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),1dc54357-fc07-42ee-add0-a193c2d48548,2,[None]
293,292,13,1,1.993174061433447,1.7610455567333343,0,13,2,7.125,0,0,0.0,0.0,5.505379863406112,4.865426926792017,,14.549488054607508,20,10,0.0034129692832764505,8.071532095937163,4.5,9,123.0,246,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),59bfd91b-8a53-489f-857d-6f034673a1b0,3,[None]
452,451,12,1,1.9955752212389382,1.685821129297517,0,12,2,7.137931034482759,0,0,0.0,0.0,5.945441739268553,5.27577785819072,,14.464601769911505,19,10,0.0022123893805309734,8.667935561093342,3.0,12,97.0,388,3.75,15,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),49ccf718-c950-4ae1-b772-23a4cc10f58d,4,[None]
361,360,17,1,1.994459833795014,1.7285011625141002,0,11,2,6.7784810126582276,0,0,0.0,0.0,5.726982126522627,5.034689371239642,inf,13.041551246537397,17,9,0.002770083102493075,8.051215758694983,3.0,9,100.0,300,2.0,6,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),01050bc8-d67e-4e32-aea2-332f76b2c8fd,5,['dee3cea6-f448-451d-9ff8-0cd57f77bcf9']
238,237,9,1,1.9915966386554622,1.39488736671139,0,12,2,6.828571428571428,0,0,0.0,0.0,5.320662612570383,4.6113573404591115,,13.65126050420168,18,9,0.004201680672268907,8.02492642626671,4.0,8,102.5,205,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),f4408a30-f79a-4377-a7e2-82b4bbac4bd7,6,['206b53d4-5a4a-41bc-80d4-955d2215dc87']
484,483,12,1,1.9958677685950412,1.6776688750768392,0,12,2,7.1826484018264845,0,0,0.0,0.0,6.013481924494296,5.3521731603859495,,14.450413223140496,19,10,0.002066115702479339,8.72504833769656,3.0,12,105.5,422,3.75,15,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),3ad617fc-b23e-414d-8bbc-d4922121083f,7,['49ccf718-c950-4ae1-b772-23a4cc10f58d']
317,316,14,1,1.9936908517350158,1.76021256057877,0,13,2,7.1931034482758625,0,0,0.0,0.0,5.586578516339946,4.925881831899501,,15.201892744479496,21,11,0.0031545741324921135,8.35946172583157,4.5,9,133.0,266,2.5,5,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),f92a50c2-48f7-462f-8472-d8ceb14afbed,8,['59bfd91b-8a53-489f-857d-6f034673a1b0']
292,291,8,1,1.9931506849315068,1.3492681553762431,0,11,2,6.48062015503876,0,0,0.0,0.0,5.525992594341355,4.823899824375612,,14.513698630136986,19,10,0.003424657534246575,8.52744433460434,2.75,11,62.75,251,2.75,11,-inf,ellipsometry_with_description_insight_(5 + 5),exp_data_CAI_clip_exp-02-23_215616-LLaMEA-gpt-4o-ellipsometry_with_description_insight_(5 + 5),3a56e4bf-bb69-45ee-a36f-68a61352d97a,9,['1dc54357-fc07-42ee-add0-a193c2d48548']
